"","Estimate","Uncond. variance","Nb models","Importance","+/- (alpha=0.05)"
"emp_Y25_64_ED3_4/19",-2.8682397171696,88.9762212837875,11,0.0460489661317869,18.7397479301947
"emp_Y25_64_ED3_4/20",2.49271146635999,33.444819409294,11,0.0460489661317869,11.4892371433323
"pop_Y25_64/2",-1.98479075104611,22.7087988367183,4,0.0649205956641748,9.46725004211778
"pop_Y25_64/3",-3.49942112551269,95.6382726560255,4,0.0649205956641748,19.4286501374625
"pop_Y25_64/4",1.45261356178673,72.8102640548658,4,0.0649205956641748,16.9520829573222
"pop_Y25_64/5",2.13471815763188,113.898518835029,4,0.0649205956641748,21.2024381097544
"pop_Y25_64/6",-0.119101643200003,59.4252415715466,4,0.0649205956641748,15.3148322405412
"pop_Y25_64/7",6.36599032347873,247.179150814036,4,0.0649205956641748,31.2343652014129
"pop_Y25_64/8",-0.647891609555644,126.458804240642,4,0.0649205956641748,22.3409327576913
"pop_Y25_64/9",11.9608902307166,653.796653079703,4,0.0649205956641748,50.7981752999758
"pop_Y25_64/10",-0.711026457857761,34.9084092741533,4,0.0649205956641748,11.7379375746899
"pop_Y25_64/11",-19.1227116764499,2053.29604312549,4,0.0649205956641748,90.0228071080846
"pop_Y25_64/12",-8.30852340849652,546.912966241584,4,0.0649205956641748,46.4607135892863
"pop_Y25_64/13",3.78920105194903,198.709257106082,4,0.0649205956641748,28.0050153985861
"pop_Y25_64/14",-19.2869516553407,1546.89335448226,4,0.0649205956641748,78.1370395719702
"pop_Y25_64/16",-2.22691502090591,385.45784212715,4,0.0649205956641748,39.0045443501033
"pop_Y25_64/17",-1.40377339009111,10.8667072033958,4,0.0649205956641748,6.54901143390334
"pop_Y25_64/18",-6.55752328021452,565.099305183347,4,0.0649205956641748,47.2268688367703
"pop_Y25_64/19",-2.24956086073149,819.895360196813,4,0.0649205956641748,56.8860764113265
"pop_Y25_64/20",19.5086291676563,1647.108140326,4,0.0649205956641748,80.6283593493257
"emp_TP/2",-10.2353943824723,1125.24676036,37,0.110209101038436,66.6424034685916
"emp_TP/3",8.90178642317125,555.807597857821,37,0.110209101038436,46.8369930641631
"emp_TP/4",-4.56009835595826,210.733983169209,37,0.110209101038436,28.8399201733253
"emp_TP/5",-44.7954835781592,6981.24511934374,37,0.110209101038436,165.994313036485
"emp_TP/6",-9.95839238097344,442.705906642798,37,0.110209101038436,41.8007836967614
"emp_TP/7",-13.5789075469278,735.257662447639,37,0.110209101038436,53.869946661929
"emp_TP/8",17.4233760623367,2673.82161187422,37,0.110209101038436,102.728981082166
"emp_TP/9",9.76221790219947,945.867173727972,37,0.110209101038436,61.1000889835345
"emp_TP/10",-5.29639840100386,372.213150227968,37,0.110209101038436,38.3285705107959
"emp_TP/11",3.55742591291775,2000.25270823265,37,0.110209101038436,88.8524074532951
