unit,isced11,geo\time	2014 	2013 	2012 
PC_GDP,ED34_44,LT	0.35 	0.37 	0.40 
PC_GDP,ED34_44,LU	: 	0.37 	0.33 
PC_GDP,ED34_44,LV	: 	0.38 	0.37 
PC_GDP,ED34_44,MT	1.10 	1.47 	1.63 
PC_GDP,ED34_44,NL	0.29 	0.32 	0.32 
PC_GDP,ED34_44,NO	: 	: d	: d
PC_GDP,ED34_44,PL	: 	0.33 	0.35 
PC_GDP,ED34_44,RO	: 	0.58 	0.57 
PC_GDP,ED34_44,SE	: 	0.58 	0.61 
PC_GDP,ED34_44,SI	: 	0.46 	0.60 
PC_GDP,ED34_44,SK	: 	0.23 	0.23 
PC_GDP,ED34_44,TR	: 	0.42 	0.41 
PC_GDP,ED34_44,UK	: 	1.02 	0.95 
PC_GDP,ED35,AT	: 	0.74 	0.73 
PC_GDP,ED35,BG	: 	0.48 	0.43 
PC_GDP,ED35,CH	: d	: 	: 
PC_GDP,ED35,CY	: 	0.34 d	0.34 
PC_GDP,ED35,CZ	: 	0.75 	0.80 
PC_GDP,ED35,DE	: 	0.44 	0.46 
PC_GDP,ED35,DK	: 	: d	: 
PC_GDP,ED35,EE	: 	0.36 	0.39 
PC_GDP,ED35,ES	0.33 d	0.33 d	0.34 d
PC_GDP,ED35,EU28	: 	0.45 d	: d
PC_GDP,ED35,FI	1.20 d	: d	: d
PC_GDP,ED35,FR	: 	0.46 	0.47 
PC_GDP,ED35,HU	: 	0.21 	0.28 
PC_GDP,ED35,IE	: 	: z	: d
PC_GDP,ED35,IS	: 	0.50 	0.50 
PC_GDP,ED35,JP	: 	: d	: d
PC_GDP,ED35,LI	: 	: z	: 
PC_GDP,ED35,LT	0.21 	0.24 	0.24 
PC_GDP,ED35,LU	: 	0.50 	0.63 
PC_GDP,ED35,LV	: 	0.24 	0.25 
PC_GDP,ED35,MT	0.18 	0.16 	0.20 
PC_GDP,ED35,NL	0.76 	0.81 	0.80 
PC_GDP,ED35,NO	: 	: d	: d
PC_GDP,ED35,PL	: 	0.50 	0.51 
PC_GDP,ED35,PT	: 	: 	: d
PC_GDP,ED35,RO	: 	0.02 	0.02 
PC_GDP,ED35,RS	: 	: d	: 
PC_GDP,ED35,SE	: 	0.80 	0.83 
PC_GDP,ED35,SI	: 	0.60 	: d
PC_GDP,ED35,SK	: 	0.63 	0.69 d
PC_GDP,ED35,TR	: 	0.58 	0.47 
PC_GDP,ED35,UK	: 	0.46 	0.53 
PC_GDP,ED35,US	: 	: 	: d
PC_GDP,ED35_45,AT	: 	0.75 	0.75 
PC_GDP,ED35_45,BE	: 	1.18 	1.15 
PC_GDP,ED35_45,BG	: 	0.48 	0.44 
PC_GDP,ED35_45,CH	: 	0.58 	0.59 
PC_GDP,ED35_45,CY	: 	0.34 	0.34 
PC_GDP,ED35_45,CZ	: 	0.75 	0.80 
PC_GDP,ED35_45,DE	: 	0.58 	0.60 
PC_GDP,ED35_45,DK	: 	: d	: d
PC_GDP,ED35_45,EE	: 	0.57 	0.64 
PC_GDP,ED35_45,ES	0.33 	0.33 	0.34 
PC_GDP,ED35_45,EU28	: 	: 	: d
PC_GDP,ED35_45,FI	1.20 	1.30 	1.30 
PC_GDP,ED35_45,FR	: 	0.48 	: 
PC_GDP,ED35_45,HU	: 	0.32 	0.38 
PC_GDP,ED35_45,IE	: 	0.39 	: d
PC_GDP,ED35_45,IS	: 	0.56 	0.56 
PC_GDP,ED35_45,JP	: 	: d	: 
PC_GDP,ED35_45,LI	: 	: z	: 
PC_GDP,ED35_45,LT	0.37 	0.42 	0.38 
PC_GDP,ED35_45,LU	: 	0.50 	0.64 
PC_GDP,ED35_45,LV	: 	0.28 	0.28 
PC_GDP,ED35_45,MT	0.37 	0.33 	0.30 
PC_GDP,ED35_45,NL	0.76 	0.81 	0.80 
PC_GDP,ED35_45,NO	: 	0.00 d	: d
PC_GDP,ED35_45,PL	: 	0.54 	0.55 
PC_GDP,ED35_45,RO	: 	0.05 	0.04 
PC_GDP,ED35_45,SE	: 	0.83 	0.85 
PC_GDP,ED35_45,SI	: 	0.60 	0.47 
PC_GDP,ED35_45,SK	: 	0.69 	0.69 d
PC_GDP,ED35_45,TR	: 	0.58 	0.47 
PC_GDP,ED35_45,UK	: 	0.46 	0.53 
PC_GDP,ED3_4,AT	: 	1.11 	1.12 
PC_GDP,ED3_4,BE	: 	1.95 	1.92 
PC_GDP,ED3_4,BG	: 	0.84 	0.74 
PC_GDP,ED3_4,CH	: 	0.97 	0.98 
PC_GDP,ED3_4,CY	: 	1.57 	1.57 
PC_GDP,ED3_4,CZ	: 	0.97 	1.03 
PC_GDP,ED3_4,DE	: 	1.07 	1.09 
PC_GDP,ED3_4,DK	: 	1.68 	: 
PC_GDP,ED3_4,EE	: 	0.94 	1.26 
PC_GDP,ED3_4,ES	0.82 	0.84 	0.83 
PC_GDP,ED3_4,EU28	: 	1.17 d	1.10 d
PC_GDP,ED3_4,FI	1.59 	1.71 	1.71 
PC_GDP,ED3_4,FR	: 	1.22 	1.23 
PC_GDP,ED3_4,HU	: 	0.96 	1.08 
PC_GDP,ED3_4,IE	: 	1.37 	1.42 
PC_GDP,ED3_4,IS	: 	1.27 	1.29 
PC_GDP,ED3_4,IT	: 	1.22 	1.19 
PC_GDP,ED3_4,JP	: 	0.69 	0.72 
PC_GDP,ED3_4,LT	0.73 	0.79 	0.78 
PC_GDP,ED3_4,LU	: 	0.87 	0.97 
PC_GDP,ED3_4,LV	: 	0.65 	0.66 
PC_GDP,ED3_4,MT	1.47 	1.81 	1.93 
PC_GDP,ED3_4,NL	1.04 	1.13 	1.11 
PC_GDP,ED3_4,NO	: 	1.38 d	1.45 
PC_GDP,ED3_4,PL	: 	0.87 	0.90 
PC_GDP,ED3_4,PT	: 	1.12 	1.06 d
PC_GDP,ED3_4,RO	: 	0.63 	0.60 
PC_GDP,ED3_4,SE	: 	1.41 	1.47 
PC_GDP,ED3_4,SI	: 	1.06 	1.07 
PC_GDP,ED3_4,SK	: 	0.92 	0.92 d
PC_GDP,ED3_4,TR	: 	0.99 	0.87 
PC_GDP,ED3_4,UK	: 	1.48 	1.49 
PC_GDP,ED4,AT	: 	0.02 	0.02 
PC_GDP,ED4,BG	: 	0.01 	0.00 
PC_GDP,ED4,CH	: d	: 	: 
PC_GDP,ED4,CY	: 	0.00 	0.00 
PC_GDP,ED4,CZ	: 	0.01 	0.01 
PC_GDP,ED4,DE	: 	0.18 	0.18 
PC_GDP,ED4,DK	: 	: z	: z
PC_GDP,ED4,EE	: 	0.22 	0.26 
PC_GDP,ED4,ES	: d	: d	: d
PC_GDP,ED4,EU28	: 	0.07 d	0.08 d
PC_GDP,ED4,FI	0.00 	: d	: 
PC_GDP,ED4,FR	: 	0.02 	0.02 d
PC_GDP,ED4,HR	: 	: z	: z
PC_GDP,ED4,HU	: 	0.11 	0.10 
PC_GDP,ED4,IE	: 	0.39 	0.40 
PC_GDP,ED4,IS	: 	0.06 	0.06 
PC_GDP,ED4,IT	: 	0.10 	0.12 
PC_GDP,ED4,JP	: 	: d	: d
PC_GDP,ED4,LI	: 	: z	: 
PC_GDP,ED4,LT	0.16 	0.19 	0.15 
PC_GDP,ED4,LU	: 	0.00 	0.00 
PC_GDP,ED4,LV	: 	0.03 	0.03 
PC_GDP,ED4,MT	0.21 	0.18 	0.10 
PC_GDP,ED4,NL	0.00 	0.00 	0.00 
PC_GDP,ED4,NO	: 	: d	: d
PC_GDP,ED4,PL	: 	0.03 	0.04 
PC_GDP,ED4,PT	: 	: d	: d
PC_GDP,ED4,RO	: 	0.03 	0.02 
PC_GDP,ED4,RS	: 	: d	: 
PC_GDP,ED4,SE	: 	0.04 	0.05 
PC_GDP,ED4,SI	: 	: z	: 
PC_GDP,ED4,SK	: 	0.05 	: d
PC_GDP,ED4,TR	: 	: z	: z
