unit,geo\time	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 
PC_LW95,AT	: 	: 	3.2 e	3.5 e	3.3 e	3.3 e	3.6 e	3.8 e	5.0 e	: 	: 	: 	: 	: 
PC_LW95,AT11	: 	: 	0.0 e	0.4 e	0.0 e	0.0 e	0.1 e	1.0 e	0.4 e	: 	: 	: 	: 	: 
PC_LW95,AT12	: 	: 	1.3 e	1.6 e	0.9 e	0.7 e	1.7 e	2.4 e	3.5 e	: 	: 	: 	: 	: 
PC_LW95,AT13	: 	: 	6.8 e	8.0 e	9.3 e	8.2 e	7.5 e	6.7 e	9.4 e	: 	: 	: 	: 	: 
PC_LW95,AT21	: 	: 	0.3 e	0.5 e	0.2 e	2.0 e	1.0 e	1.6 e	2.9 e	: 	: 	: 	: 	: 
PC_LW95,AT22	: 	: 	0.8 e	1.2 e	1.4 e	1.2 e	2.4 e	2.0 e	2.6 e	: 	: 	: 	: 	: 
PC_LW95,AT31	: 	: 	0.6 e	0.8 e	0.7 e	0.5 e	0.6 e	1.0 e	1.4 e	: 	: 	: 	: 	: 
PC_LW95,AT32	: 	: 	0.9 e	0.4 e	1.0 e	0.9 e	1.8 e	3.0 e	1.8 e	: 	: 	: 	: 	: 
PC_LW95,AT33	: 	: 	1.0 e	0.8 e	0.8 e	0.4 e	0.1 e	0.6 e	0.6 e	: 	: 	: 	: 	: 
PC_LW95,AT34	: 	: 	0.4 e	0.4 e	0.0 e	1.0 e	0.1 e	0.1 e	2.0 e	: 	: 	: 	: 	: 
PC_POP,ES52	: 	6.7 	11.3 	7.1 	6.4 	3.9 	5.6 	5.5 	4.0 	1.9 	4.1 	4.9 	5.3 	: 
PC_POP,ES53	: 	7.7 	9.8 	10.4 	7.9 	7.4 	4.7 	6.3 	3.6 	4.8 	2.4 	7.5 	3.8 	: 
PC_POP,ES6	: 	8.3 	9.9 	7.4 	7.8 	6.2 	7.0 	6.1 	5.4 	6.8 	6.9 	4.6 	8.6 	: 
PC_POP,ES61	: 	8.0 	9.5 	7.0 	7.5 	6.3 	5.6 	5.7 	5.4 	6.9 	6.5 	4.0 	8.6 	: 
PC_POP,ES62	: 	9.0 	11.8 	9.0 	9.1 	5.8 	15.0 	8.2 	5.4 	5.9 	8.2 	7.3 	7.3 	: 
PC_POP,ES63	: 	16.6 	12.4 	15.3 	19.5 	7.6 	4.5 	10.1 	2.4 	19.9 	27.4 	9.7 	21.4 	: 
PC_POP,ES64	: 	15.1 	7.4 	14.8 	1.0 	6.4 	9.7 	0.9 	10.9 	8.0 	6.3 	: 	: 	: 
PC_POP,ES7	: 	12.4 	7.2 	8.5 	6.5 	3.9 	3.5 	12.7 	3.9 	3.0 	8.2 	8.8 	8.8 	: 
PC_POP,ES70	: 	12.4 	7.2 	8.5 	6.5 	3.9 	3.5 	12.7 	3.9 	3.0 	8.2 	8.8 	8.8 	: 
PC_POP,FI	: 	2.2 	2.8 	2.5 	2.9 	3.2 	2.8 	2.8 	3.5 	3.6 	3.3 	3.8 	3.8 	: 
PC_POP,FI1	: 	2.2 	2.8 	2.5 	2.9 	3.2 	2.8 	2.8 	3.5 	3.6 	3.3 	3.8 	3.8 	: 
PC_POP,FI13	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.6 	3.7 	3.9 	3.3 	: 
PC_POP,FI18	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.7 	3.5 	4.0 	3.5 	: 
PC_POP,FI19_20	: 	1.7 	3.3 	2.1 	3.6 	3.1 	2.2 	2.8 	3.5 	3.1 	3.1 	2.9 	4.3 	: 
PC_POP,FI1A	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.8 	2.5 	4.5 	3.9 	: 
PC_POP,FI1B	: 	2.5 	2.8 	2.5 	2.4 	3.8 	2.9 	2.5 	2.9 	: 	: 	: 	: 	: 
PC_POP,FI1C	: 	2.4 	2.7 	2.7 	2.8 	3.0 	3.1 	2.8 	3.9 	: 	: 	: 	: 	: 
PC_POP,FI1D	: 	2.1 	2.4 	2.7 	3.0 	2.8 	3.2 	3.3 	3.8 	: 	: 	: 	: 	: 
PC_POP,FI2	: 	0.4 	1.0 	1.6 	2.6 	1.1 	1.6 	0.0 	4.3 	0.0 	3.8 	2.5 	3.9 	: 
PC_POP,FR	: 	4.5 	4.8 	4.9 	5.3 	5.2 	5.8 	5.6 	5.4 	4.7 	5.0 	5.3 	6.1 	: 
PC_POP,HR	: 	13.7 	13.9 	14.7 	15.9 	15.2 	14.3 	: 	: 	: 	: 	: 	: 	: 
PC_POP,HU	16.2 	19.4 	24.0 	27.8 	26.3 	23.4 	21.6 	20.3 	17.9 	19.9 	20.9 	22.9 	: 	: 
PC_POP,HU1	14.1 	17.5 	23.6 	27.1 	23.4 	20.1 	20.7 	18.5 	15.6 	16.9 	17.7 	19.7 	: 	: 
PC_POP,HU2	14.2 	17.0 	21.5 	22.0 	22.6 	20.8 	17.9 	17.6 	14.8 	17.1 	17.3 	19.2 	: 	: 
PC_POP,HU3	19.3 	22.6 	26.3 	32.6 	31.2 	27.7 	25.0 	23.6 	21.8 	24.0 	25.8 	27.7 	: 	: 
PC_POP,IE	: 	7.5 	8.4 	9.9 	9.8 	7.8 	5.7 	6.1 	5.5 	4.5 	4.8 	5.1 	4.8 	5.6 
PC_POP,IE01	: 	5.6 	9.4 	11.4 	9.0 	6.6 	7.9 	6.8 	4.9 	5.8 	4.0 	6.2 	5.5 	5.5 
PC_POP,IE02	: 	8.2 	8.0 	9.4 	10.1 	8.3 	4.9 	5.9 	5.8 	4.0 	5.1 	4.7 	4.6 	5.6 
PC_POP,IS	: 	1.6 	1.4 	1.9 	2.4 	2.1 	1.8 	0.8 	0.8 b	2.1 	2.1 	2.7 	2.5 	: 
PC_POP,IT	: 	11.5 	11.6 	12.3 	14.5 	11.1 	7.4 	7.3 	7.5 	7.0 	6.4 	6.8 	7.0 	: 
PC_POP,ITC	: 	7.0 	8.1 	8.0 	9.4 	6.7 	3.5 	4.6 	3.2 	3.4 	2.9 	2.4 	2.7 	: 
PC_POP,ITC1	: 	6.6 	5.3 	5.0 	7.3 	7.8 	4.7 	5.7 	3.3 	4.6 	4.2 	2.2 	3.4 	: 
PC_POP,ITC2	: 	9.4 	9.4 	9.2 	8.3 	4.9 	2.2 	1.5 	1.7 	0.9 	1.5 	2.6 	2.7 	: 
PC_POP,ITC3	: 	11.6 	12.7 	8.1 	8.6 	6.8 	2.7 	1.6 	3.5 	2.3 	3.4 	3.6 	2.8 	: 
PC_POP,ITC4	: 	6.4 	8.5 	9.2 	10.5 	6.3 	3.2 	4.7 	3.1 	3.0 	2.3 	2.3 	2.4 	: 
PC_POP,ITF	: 	18.6 	18.3 	21.0 	23.9 	18.9 	11.8 	10.9 	13.6 	12.3 	11.9 	12.8 	14.1 	: 
