unit,geo\time	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 
AVG,NL1	: 	2.1 	2.0 	2.1 	2.1 	2.1 	: 	: 	: 	: 	: 	: 	: 	: 
AVG,NL2	: 	1.9 	1.9 	2.0 	2.0 	2.0 	: 	: 	: 	: 	: 	: 	: 	: 
AVG,NL3	: 	1.9 	1.9 	1.9 	2.0 	2.0 	: 	: 	: 	: 	: 	: 	: 	: 
AVG,NL4	: 	2.0 	2.0 	2.0 	2.1 	2.1 	: 	: 	: 	: 	: 	: 	: 	: 
AVG,NO	: 	2.1 	2.0 	2.0 	2.0 	2.0 	2.0 	2.0 	2.0 	2.0 	2.0 	1.9 	1.9 	1.9 
AVG,NO0	: 	2.1 	2.0 	2.0 	2.0 	2.0 	2.0 	2.0 	2.0 	2.0 	2.0 	1.9 	: 	: 
AVG,NO01	: 	1.9 	1.8 	1.8 	1.8 	1.8 	1.8 	1.8 	1.8 	1.9 	1.8 	1.8 	2.2 	1.8 
AVG,NO02	: 	2.2 	2.2 	2.2 	2.1 	2.1 	2.1 	2.1 	2.1 	2.1 	2.0 	2.0 	1.9 	2.1 
AVG,NO03	: 	2.1 	2.1 	2.1 	2.1 	2.1 	2.1 	2.0 	2.0 	2.0 	2.0 	1.9 	2.0 	1.9 
AVG,NO04	: 	2.1 	2.0 	2.1 	2.0 	2.0 	2.0 	1.9 	2.0 	2.0 	2.0 	1.9 	1.9 	1.9 
AVG,NO05	: 	2.1 	2.1 	2.0 	2.0 	2.0 	2.0 	2.0 	2.1 	2.1 	2.0 	1.9 	2.0 	1.8 
AVG,NO06	: 	2.0 	2.0 	1.9 	2.0 	2.0 	2.0 	2.0 	2.0 	2.0 	1.9 	2.0 	1.8 	1.9 
AVG,NO07	: 	2.1 	2.1 	2.0 	2.1 	2.0 	2.0 	2.0 	2.0 	2.0 	2.0 	2.0 	: 	2.0 
AVG,PL	: 	1.1 	1.1 	1.1 	1.0 	1.0 	1.0 	1.0 	1.0 	1.0 	1.0 	1.0 	: 	: 
