unit,iscedf13,isced11,sex,geo\time	2015 	2014 	2013 
NR,F00,ED6,T,FI	0 	: 	: 
NR,F00,ED6,T,FR	0 	: 	: 
NR,F00,ED6,T,HR	0 	: 	: 
NR,F00,ED6,T,HU	0 	: 	: 
NR,F00,ED6,T,LI	0 	: 	: 
NR,F00,ED6,T,LT	0 	: 	: 
NR,F00,ED6,T,LU	0 	: 	: 
NR,F00,ED6,T,LV	0 	: 	: 
NR,F00,ED6,T,MK	0 	: 	: 
NR,F00,ED6,T,MT	0 	: 	: 
NR,F00,ED6,T,NL	0 	: 	: 
NR,F00,ED6,T,NO	611 	: 	: 
NR,F00,ED6,T,PL	0 	: 	: 
NR,F00,ED6,T,PT	0 	: 	: 
NR,F00,ED6,T,RO	0 	: 	: 
NR,F00,ED6,T,RS	0 	: 	: 
NR,F00,ED6,T,SE	0 	: 	: 
NR,F00,ED6,T,SI	0 	: 	: 
NR,F00,ED6,T,SK	0 	: 	: 
NR,F00,ED6,T,UK	24756 	: 	: 
NR,F00,ED7,F,AT	0 	: 	: 
NR,F00,ED7,F,BE	0 	: 	: 
NR,F00,ED7,F,BG	0 	: 	: 
NR,F00,ED7,F,CH	0 	: 	: 
NR,F00,ED7,F,CY	0 	: 	: 
NR,F00,ED7,F,CZ	0 	: 	: 
NR,F00,ED7,F,DE	0 	0 	0 
NR,F00,ED7,F,DK	0 	: 	: 
NR,F00,ED7,F,EE	0 	: 	: 
NR,F00,ED7,F,ES	0 	: 	: 
NR,F00,ED7,F,FI	0 	: 	: 
NR,F00,ED7,F,FR	0 	: 	: 
NR,F00,ED7,F,HR	0 	: 	: 
NR,F00,ED7,F,HU	0 	: 	: 
NR,F00,ED7,F,LI	0 	: 	: 
NR,F00,ED7,F,LT	18 	: 	: 
NR,F00,ED7,F,LU	0 	: 	: 
NR,F00,ED7,F,LV	0 	: 	: 
NR,F00,ED7,F,MK	0 	: 	: 
NR,F00,ED7,F,MT	0 	: 	: 
NR,F00,ED7,F,NL	0 	: 	: 
NR,F00,ED7,F,NO	0 	: 	: 
NR,F00,ED7,F,PL	0 	: 	: 
NR,F00,ED7,F,PT	0 	: 	: 
NR,F00,ED7,F,RO	0 	: 	: 
NR,F00,ED7,F,RS	0 	: 	: 
NR,F00,ED7,F,SE	0 	: 	: 
NR,F00,ED7,F,SI	0 	: 	: 
NR,F00,ED7,F,SK	0 	: 	: 
NR,F00,ED7,F,UK	1212 	: 	: 
NR,F00,ED7,M,AT	0 	: 	: 
NR,F00,ED7,M,BE	0 	: 	: 
NR,F00,ED7,M,BG	0 	: 	: 
NR,F00,ED7,M,CH	0 	: 	: 
NR,F00,ED7,M,CY	0 	: 	: 
NR,F00,ED7,M,CZ	0 	: 	: 
NR,F00,ED7,M,DE	0 	0 	0 
NR,F00,ED7,M,DK	0 	: 	: 
NR,F00,ED7,M,EE	0 	: 	: 
NR,F00,ED7,M,ES	0 	: 	: 
NR,F00,ED7,M,FI	0 	: 	: 
NR,F00,ED7,M,FR	0 	: 	: 
NR,F00,ED7,M,HR	0 	: 	: 
NR,F00,ED7,M,HU	0 	: 	: 
NR,F00,ED7,M,LI	0 	: 	: 
NR,F00,ED7,M,LT	1 	: 	: 
NR,F00,ED7,M,LU	0 	: 	: 
NR,F00,ED7,M,LV	0 	: 	: 
NR,F00,ED7,M,MK	0 	: 	: 
NR,F00,ED7,M,MT	0 	: 	: 
NR,F00,ED7,M,NL	0 	: 	: 
NR,F00,ED7,M,NO	0 	: 	: 
NR,F00,ED7,M,PL	0 	: 	: 
NR,F00,ED7,M,PT	0 	: 	: 
NR,F00,ED7,M,RO	0 	: 	: 
NR,F00,ED7,M,RS	0 	: 	: 
NR,F00,ED7,M,SE	0 	: 	: 
NR,F00,ED7,M,SI	0 	: 	: 
NR,F00,ED7,M,SK	0 	: 	: 
NR,F00,ED7,M,UK	638 	: 	: 
NR,F00,ED7,T,AT	0 	: 	: 
NR,F00,ED7,T,BE	0 	: 	: 
NR,F00,ED7,T,BG	0 	: 	: 
NR,F00,ED7,T,CH	0 	: 	: 
NR,F00,ED7,T,CY	0 	: 	: 
NR,F00,ED7,T,CZ	0 	: 	: 
NR,F00,ED7,T,DE	0 	0 	0 
NR,F00,ED7,T,DK	0 	: 	: 
NR,F00,ED7,T,EE	0 	: 	: 
NR,F00,ED7,T,ES	0 	: 	: 
NR,F00,ED7,T,FI	0 	: 	: 
NR,F00,ED7,T,FR	0 	: 	: 
NR,F00,ED7,T,HR	0 	: 	: 
NR,F00,ED7,T,HU	0 	: 	: 
NR,F00,ED7,T,LI	0 	: 	: 
NR,F00,ED7,T,LT	19 	: 	: 
NR,F00,ED7,T,LU	0 	: 	: 
NR,F00,ED7,T,LV	0 	: 	: 
NR,F00,ED7,T,MK	0 	: 	: 
NR,F00,ED7,T,MT	0 	: 	: 
NR,F00,ED7,T,NL	0 	: 	: 
NR,F00,ED7,T,NO	0 	: 	: 
NR,F00,ED7,T,PL	0 	: 	: 
NR,F00,ED7,T,PT	0 	: 	: 
NR,F00,ED7,T,RO	0 	: 	: 
NR,F00,ED7,T,RS	0 	: 	: 
NR,F00,ED7,T,SE	0 	: 	: 
NR,F00,ED7,T,SI	0 	: 	: 
NR,F00,ED7,T,SK	0 	: 	: 
NR,F00,ED7,T,UK	1850 	: 	: 
NR,F00,ED8,F,AT	0 	: 	: 
NR,F00,ED8,F,BE	0 	: 	: 
NR,F00,ED8,F,BG	0 	: 	: 
NR,F00,ED8,F,CH	0 	: 	: 
NR,F00,ED8,F,CY	0 	: 	: 
NR,F00,ED8,F,CZ	0 	: 	: 
NR,F00,ED8,F,DE	0 	0 	0 
NR,F00,ED8,F,DK	0 	: 	: 
NR,F00,ED8,F,EE	0 	: 	: 
NR,F00,ED8,F,ES	0 	: 	: 
NR,F00,ED8,F,FI	0 	: 	: 
NR,F00,ED8,F,FR	0 	: 	: 
NR,F00,ED8,F,HR	0 	: 	: 
NR,F00,ED8,F,HU	0 	: 	: 
NR,F00,ED8,F,LI	0 	: 	: 
NR,F00,ED8,F,LT	0 	: 	: 
NR,F00,ED8,F,LU	0 	: 	: 
NR,F00,ED8,F,LV	0 	: 	: 
NR,F00,ED8,F,MK	0 	: 	: 
NR,F00,ED8,F,MT	0 	: 	: 
NR,F00,ED8,F,NL	: z	: 	: 
NR,F00,ED8,F,NO	0 	: 	: 
NR,F00,ED8,F,PL	0 	: 	: 
NR,F00,ED8,F,PT	0 	: 	: 
NR,F00,ED8,F,RO	0 	: 	: 
NR,F00,ED8,F,RS	0 	: 	: 
NR,F00,ED8,F,SE	0 	: 	: 
NR,F00,ED8,F,SI	0 	: 	: 
NR,F00,ED8,F,SK	0 	: 	: 
NR,F00,ED8,F,UK	4 	: 	: 
NR,F00,ED8,M,AT	0 	: 	: 
NR,F00,ED8,M,BE	0 	: 	: 
NR,F00,ED8,M,BG	0 	: 	: 
NR,F00,ED8,M,CH	0 	: 	: 
NR,F00,ED8,M,CY	0 	: 	: 
NR,F00,ED8,M,CZ	0 	: 	: 
NR,F00,ED8,M,DE	0 	0 	0 
NR,F00,ED8,M,DK	0 	: 	: 
NR,F00,ED8,M,EE	0 	: 	: 
NR,F00,ED8,M,ES	0 	: 	: 
NR,F00,ED8,M,FI	0 	: 	: 
NR,F00,ED8,M,FR	0 	: 	: 
NR,F00,ED8,M,HR	0 	: 	: 
NR,F00,ED8,M,HU	0 	: 	: 
NR,F00,ED8,M,LI	0 	: 	: 
NR,F00,ED8,M,LT	0 	: 	: 
NR,F00,ED8,M,LU	0 	: 	: 
NR,F00,ED8,M,LV	0 	: 	: 
NR,F00,ED8,M,MK	0 	: 	: 
NR,F00,ED8,M,MT	0 	: 	: 
NR,F00,ED8,M,NL	: z	: 	: 
NR,F00,ED8,M,NO	0 	: 	: 
NR,F00,ED8,M,PL	0 	: 	: 
NR,F00,ED8,M,PT	0 	: 	: 
NR,F00,ED8,M,RO	0 	: 	: 
NR,F00,ED8,M,RS	0 	: 	: 
NR,F00,ED8,M,SE	0 	: 	: 
NR,F00,ED8,M,SI	0 	: 	: 
NR,F00,ED8,M,SK	0 	: 	: 
NR,F00,ED8,M,UK	7 	: 	: 
NR,F00,ED8,T,AT	0 	: 	: 
NR,F00,ED8,T,BE	0 	: 	: 
NR,F00,ED8,T,BG	0 	: 	: 
NR,F00,ED8,T,CH	0 	: 	: 
NR,F00,ED8,T,CY	0 	: 	: 
NR,F00,ED8,T,CZ	0 	: 	: 
NR,F00,ED8,T,DE	0 	0 	0 
NR,F00,ED8,T,DK	0 	: 	: 
NR,F00,ED8,T,EE	0 	: 	: 
NR,F00,ED8,T,ES	0 	: 	: 
NR,F00,ED8,T,FI	0 	: 	: 
NR,F00,ED8,T,FR	0 	: 	: 
NR,F00,ED8,T,HR	0 	: 	: 
NR,F00,ED8,T,HU	0 	: 	: 
NR,F00,ED8,T,LI	0 	: 	: 
NR,F00,ED8,T,LT	0 	: 	: 
NR,F00,ED8,T,LU	0 	: 	: 
NR,F00,ED8,T,LV	0 	: 	: 
NR,F00,ED8,T,MK	0 	: 	: 
NR,F00,ED8,T,MT	0 	: 	: 
NR,F00,ED8,T,NL	: z	: 	: 
NR,F00,ED8,T,NO	0 	: 	: 
NR,F00,ED8,T,PL	0 	: 	: 
NR,F00,ED8,T,PT	0 	: 	: 
NR,F00,ED8,T,RO	0 	: 	: 
NR,F00,ED8,T,RS	0 	: 	: 
NR,F00,ED8,T,SE	0 	: 	: 
NR,F00,ED8,T,SI	0 	: 	: 
NR,F00,ED8,T,SK	0 	: 	: 
NR,F00,ED8,T,UK	11 	: 	: 
NR,F000,ED35,F,AT	0 	: 	: 
NR,F000,ED35,F,BE	0 	: 	: 
NR,F000,ED35,F,BG	0 	: 	: 
NR,F000,ED35,F,CH	0 	: 	: 
NR,F000,ED35,F,CY	0 	: 	: 
NR,F000,ED35,F,CZ	0 	: 	: 
NR,F000,ED35,F,DE	0 	0 	0 
NR,F000,ED35,F,DK	0 	: 	: 
NR,F000,ED35,F,EE	0 	: 	: 
NR,F000,ED35,F,ES	0 	: 	: 
NR,F000,ED35,F,FI	0 	: 	: 
NR,F000,ED35,F,FR	0 	: 	: 
NR,F000,ED35,F,HU	0 	: 	: 
NR,F000,ED35,F,LI	0 	: 	: 
NR,F000,ED35,F,LT	0 	: 	: 
NR,F000,ED35,F,LU	0 	: 	: 
NR,F000,ED35,F,LV	0 	: 	: 
NR,F000,ED35,F,MK	0 	: 	: 
