unit,geo\time	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 
PCH_PRE,FR10	1.3 	2.2 	1.8 	1.6 	5.8 	-2.0 	8.3 	7.1 	3.5 	3.7 	3.5 	2.5 	4.0 	3.6 	: 
PCH_PRE,FR2	0.7 	0.8 	-0.3 	3.9 	-0.4 	-0.6 	-0.3 	3.7 	3.5 	0.8 	5.6 	2.3 	2.8 	2.4 	: 
PCH_PRE,FR21	2.5 	0.6 	-2.9 	7.9 	-3.3 	-2.1 	0.9 	3.1 	3.3 	-1.3 	9.9 	0.0 	2.7 	-0.1 	: 
PCH_PRE,FR22	-1.3 	-0.6 	0.6 	3.0 	0.3 	-0.7 	0.0 	3.9 	2.5 	1.3 	3.3 	2.8 	2.7 	2.9 	: 
PCH_PRE,FR23	1.1 	1.0 	0.8 	3.0 	2.1 	-1.1 	-1.0 	4.9 	3.3 	1.7 	4.2 	3.2 	2.4 	2.6 	: 
PCH_PRE,FR24	0.3 	1.1 	0.2 	3.3 	0.0 	0.6 	-1.7 	3.1 	3.8 	1.2 	5.0 	2.6 	2.7 	3.9 	: 
PCH_PRE,FR25	0.6 	1.0 	-1.2 	3.4 	0.3 	0.2 	0.4 	2.5 	4.0 	0.9 	6.0 	3.5 	3.6 	2.1 	: 
PCH_PRE,FR26	1.5 	1.4 	-0.5 	3.9 	-2.8 	-0.9 	1.0 	4.4 	4.1 	0.1 	6.5 	1.5 	2.9 	1.7 	: 
PCH_PRE,FR3	0.3 	1.1 	-0.7 	3.6 	0.2 	-0.5 	2.7 	3.8 	4.9 	2.3 	4.2 	3.5 	3.7 	3.2 	: 
PCH_PRE,FR30	0.3 	1.1 	-0.7 	3.6 	0.2 	-0.5 	2.7 	3.8 	4.9 	2.3 	4.2 	3.5 	3.7 	3.2 	: 
PCH_PRE,FR4	-0.1 	0.7 	-1.6 	2.8 	-1.1 	-0.3 	0.4 	3.5 	3.4 	0.8 	4.2 	2.6 	2.3 	3.6 	: 
PCH_PRE,FR41	0.1 	0.7 	-1.1 	2.1 	-1.3 	-0.4 	-1.4 	2.6 	3.3 	1.0 	5.1 	2.8 	2.4 	3.7 	: 
PCH_PRE,FR42	0.3 	1.4 	-0.7 	3.6 	-1.1 	0.0 	2.6 	4.9 	3.8 	0.7 	3.5 	2.5 	2.3 	2.9 	: 
