unit,na_item,geo\time	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 
EUR_HAB,B5N,DE80	: 	17700.00 	17500.00 	17000.00 	16200.00 	16000.00 	15800.00 	15000.00 	14400.00 	13900.00 	13700.00 	13400.00 	13100.00 	13000.00 	12700.00 
EUR_HAB,B5N,DE9	: 	23500.00 	23000.00 	22400.00 	21200.00 	20900.00 	20900.00 	20200.00 	19700.00 	18900.00 	18600.00 	18500.00 	18200.00 	18500.00 	18000.00 
EUR_HAB,B5N,DE91	: 	23200.00 	22700.00 	22000.00 	20900.00 	20500.00 	20600.00 	19800.00 	19400.00 	18700.00 	18600.00 	18400.00 	18000.00 	18000.00 	17700.00 
EUR_HAB,B5N,DE92	: 	23800.00 	23300.00 	22700.00 	21500.00 	21100.00 	21200.00 	20500.00 	20100.00 	19300.00 	19000.00 	19000.00 	18800.00 	19100.00 	18700.00 
EUR_HAB,B5N,DE93	: 	24800.00 	24200.00 	23500.00 	22400.00 	22000.00 	22000.00 	21200.00 	20600.00 	19700.00 	19400.00 	19400.00 	19100.00 	19500.00 	19000.00 
EUR_HAB,B5N,DE94	: 	22700.00 	22100.00 	21600.00 	20500.00 	20100.00 	20200.00 	19400.00 	18900.00 	18000.00 	17600.00 	17500.00 	17100.00 	17400.00 	16900.00 
EUR_HAB,B5N,DEA	: 	25100.00 	24700.00 	24000.00 	22800.00 	22100.00 	22800.00 	21800.00 	21300.00 	20700.00 	20500.00 	20300.00 	19900.00 	20000.00 	19600.00 
EUR_HAB,B5N,DEA1	: 	25500.00 	25200.00 	24400.00 	23300.00 	22700.00 	23500.00 	22500.00 	22000.00 	21400.00 	21200.00 	21100.00 	20700.00 	20700.00 	20400.00 
EUR_HAB,B5N,DEA2	: 	26000.00 	25700.00 	25000.00 	23700.00 	23100.00 	23700.00 	22600.00 	22200.00 	21700.00 	21500.00 	21400.00 	21000.00 	21000.00 	20600.00 
EUR_HAB,B5N,DEA3	: 	23500.00 	23200.00 	22500.00 	21600.00 	20800.00 	21400.00 	20300.00 	19800.00 	19200.00 	18900.00 	18700.00 	18300.00 	18400.00 	18000.00 
EUR_HAB,B5N,DEA4	: 	25200.00 	24800.00 	24000.00 	23100.00 	22200.00 	23000.00 	21800.00 	21300.00 	20700.00 	20400.00 	20300.00 	20000.00 	20300.00 	19900.00 
EUR_HAB,B5N,DEA5	: 	24400.00 	23900.00 	23100.00 	21800.00 	21200.00 	21900.00 	21000.00 	20400.00 	19700.00 	19400.00 	19200.00 	18800.00 	18800.00 	18400.00 
EUR_HAB,B5N,DEB	: 	25900.00 	25200.00 	24700.00 	23900.00 	23900.00 	23600.00 	22900.00 	22200.00 	21200.00 	20800.00 	20500.00 	20000.00 	19900.00 	19300.00 
EUR_HAB,B5N,DEB1	: 	25100.00 	24500.00 	23900.00 	23200.00 	23300.00 	23000.00 	22400.00 	21700.00 	20700.00 	20300.00 	20000.00 	19500.00 	19500.00 	19000.00 
EUR_HAB,B5N,DEB2	: 	25800.00 	24900.00 	24200.00 	23600.00 	23500.00 	23000.00 	22200.00 	21400.00 	20400.00 	19800.00 	19300.00 	18500.00 	18300.00 	17500.00 
EUR_HAB,B5N,DEB3	: 	26500.00 	25800.00 	25300.00 	24500.00 	24400.00 	24200.00 	23500.00 	22800.00 	21800.00 	21500.00 	21200.00 	20700.00 	20700.00 	20100.00 
