nace_r2,sizeclas,isco08,indic_em,geo\time	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
A,GE10,OC3,JOBVAC,HU10	1 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC3,JOBVAC,HU2	8 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC3,JOBVAC,HU21	3 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC3,JOBVAC,HU22	2 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC3,JOBVAC,HU23	2 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC3,JOBVAC,HU3	7 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC3,JOBVAC,HU31	3 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC3,JOBVAC,HU32	1 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC3,JOBVAC,HU33	2 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC3,JOBVAC,LV	: 	7 	7 	1 	1 	0 	2 	: 
A,GE10,OC3,JOBVAC,LV0	6 	7 	: 	: 	1 	0 	2 	: 
A,GE10,OC3,JOBVAC,LV00	: 	: 	: 	: 	1 	0 	2 	: 
A,GE10,OC4,CH_Y_Y,HU	-0.1 p	0.1 p	0 p	0.2 p	-0.2 p	0.1 p	: 	: 
A,GE10,OC4,CH_Y_Y,LV	: 	0.3 	0 	-0.2 	0 	0.2 	: 	: 
A,GE10,OC4,CH_Y_Y,LV0	0.4 	0.1 	: 	: 	0 	0.2 	: 	: 
A,GE10,OC4,CH_Y_Y,LV00	: 	: 	: 	: 	0 	0.2 	: 	: 
A,GE10,OC4,JOBOCC,HU	4746 p	: c	4263 p	4585 p	: c	: c	: c	: 
A,GE10,OC4,JOBOCC,HU1	418 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC4,JOBOCC,HU10	418 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC4,JOBOCC,HU2	1931 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC4,JOBOCC,HU21	649 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC4,JOBOCC,HU22	546 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC4,JOBOCC,HU23	736 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC4,JOBOCC,HU3	2396 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC4,JOBOCC,HU31	469 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC4,JOBOCC,HU32	880 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC4,JOBOCC,HU33	1047 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC4,JOBOCC,LV	: 	332 	420 	561 	510 	470 	502 	: 
A,GE10,OC4,JOBOCC,LV0	304 	332 	: 	: 	510 	470 	502 	: 
A,GE10,OC4,JOBOCC,LV00	: 	: 	: 	: 	510 	470 	502 	: 
A,GE10,OC4,JOBRATE,HU	0.2 p	0.3 p	0.2 p	0.2 p	0 p	0.2 p	0.1 p	: 
A,GE10,OC4,JOBRATE,HU1	0.5 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC4,JOBRATE,HU10	0.5 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC4,JOBRATE,HU2	0.2 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC4,JOBRATE,HU21	0.2 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC4,JOBRATE,HU22	0 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC4,JOBRATE,HU23	0.1 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC4,JOBRATE,HU3	0.2 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC4,JOBRATE,HU31	0.6 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC4,JOBRATE,HU32	0.1 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC4,JOBRATE,HU33	0 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC4,JOBRATE,LV	: 	0.3 	0 	0 	0.2 	0.2 	0 	: 
A,GE10,OC4,JOBRATE,LV0	0.7 	0.3 	: 	: 	0.2 	0.2 	0 	: 
A,GE10,OC4,JOBRATE,LV00	: 	: 	: 	: 	0.2 	0.2 	0 	: 
A,GE10,OC4,JOBVAC,HU	8 p	13 p	: c	: c	2 p	9 p	7 p	: 
A,GE10,OC4,JOBVAC,HU1	2 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC4,JOBVAC,HU10	2 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC4,JOBVAC,HU2	3 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC4,JOBVAC,HU21	1 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC4,JOBVAC,HU22	0 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC4,JOBVAC,HU23	1 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC4,JOBVAC,HU3	4 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC4,JOBVAC,HU31	3 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC4,JOBVAC,HU32	1 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC4,JOBVAC,HU33	0 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC4,JOBVAC,LV	: 	1 	0 	0 	1 	1 	0 	: 
A,GE10,OC4,JOBVAC,LV0	2 	1 	: 	: 	1 	1 	0 	: 
A,GE10,OC4,JOBVAC,LV00	: 	: 	: 	: 	1 	1 	0 	: 
A,GE10,OC5,CH_Y_Y,HU	0 p	0.1 p	0.8 p	-0.1 p	0 p	-0.1 p	: 	: 
A,GE10,OC5,CH_Y_Y,LV	: 	0.2 	0 	-0.2 	0.2 	-0.2 	: 	: 
A,GE10,OC5,CH_Y_Y,LV0	0.2 	0 	: 	: 	0.2 	-0.2 	: 	: 
A,GE10,OC5,CH_Y_Y,LV00	: 	: 	: 	: 	0.2 	-0.2 	: 	: 
A,GE10,OC5,JOBOCC,HU	925 p	: c	1067 p	1214 p	: c	: c	: c	: 
A,GE10,OC5,JOBOCC,HU1	89 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC5,JOBOCC,HU10	89 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC5,JOBOCC,HU2	409 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC5,JOBOCC,HU21	190 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC5,JOBOCC,HU22	47 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC5,JOBOCC,HU23	173 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC5,JOBOCC,HU3	426 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC5,JOBOCC,HU31	61 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC5,JOBOCC,HU32	194 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC5,JOBOCC,HU33	171 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC5,JOBOCC,LV	: 	501 	463 	517 	587 	432 	479 	: 
A,GE10,OC5,JOBOCC,LV0	521 	501 	: 	: 	587 	432 	479 	: 
A,GE10,OC5,JOBOCC,LV00	: 	: 	: 	: 	587 	432 	479 	: 
A,GE10,OC5,JOBRATE,HU	0.9 p	0.9 p	0.8 p	0 p	0.1 p	0.1 p	0.2 p	: 
A,GE10,OC5,JOBRATE,HU1	0 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC5,JOBRATE,HU10	0 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC5,JOBRATE,HU2	0.7 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC5,JOBRATE,HU21	0 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC5,JOBRATE,HU22	0 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC5,JOBRATE,HU23	1.1 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC5,JOBRATE,HU3	1.2 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC5,JOBRATE,HU31	1.6 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC5,JOBRATE,HU32	2 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC5,JOBRATE,HU33	0 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC5,JOBRATE,LV	: 	0.2 	0 	0 	0.2 	0 	0.2 	: 
A,GE10,OC5,JOBRATE,LV0	0.4 	0.2 	: 	: 	0.2 	0 	0.2 	: 
A,GE10,OC5,JOBRATE,LV00	: 	: 	: 	: 	0.2 	0 	0.2 	: 
A,GE10,OC5,JOBVAC,HU	8 p	10 p	: c	: c	1 p	1 p	3 p	: 
A,GE10,OC5,JOBVAC,HU1	0 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC5,JOBVAC,HU10	0 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC5,JOBVAC,HU2	3 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC5,JOBVAC,HU21	0 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC5,JOBVAC,HU22	0 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC5,JOBVAC,HU23	2 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC5,JOBVAC,HU3	5 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC5,JOBVAC,HU31	1 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC5,JOBVAC,HU32	4 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC5,JOBVAC,HU33	0 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC5,JOBVAC,LV	: 	1 	0 	0 	1 	0 	1 	: 
A,GE10,OC5,JOBVAC,LV0	2 	1 	: 	: 	1 	0 	1 	: 
A,GE10,OC5,JOBVAC,LV00	: 	: 	: 	: 	1 	0 	1 	: 
A,GE10,OC6,CH_Y_Y,HU	-0.7 p	0.7 p	-0.7 p	0.6 p	-0.1 p	0.1 p	: 	: 
A,GE10,OC6,CH_Y_Y,LV	: 	-0.5 	0.5 	0 	0.1 	-0.1 	: 	: 
A,GE10,OC6,CH_Y_Y,LV0	0.2 	0 	: 	: 	0.1 	-0.1 	: 	: 
A,GE10,OC6,CH_Y_Y,LV00	: 	: 	: 	: 	0.1 	-0.1 	: 	: 
A,GE10,OC6,JOBOCC,HU	19077 p	: c	19018 p	20258 p	: c	: c	: c	: 
A,GE10,OC6,JOBOCC,HU1	1638 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC6,JOBOCC,HU10	1638 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC6,JOBOCC,HU2	6955 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC6,JOBOCC,HU21	2181 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC6,JOBOCC,HU22	2345 p	: 	: 	: 	: 	: 	: 	: 
A,GE10,OC6,JOBOCC,HU23	2430 p	: 	: 	: 	: 	: 	: 	: 
