"","Cluster","Prob(1)","Prob(2)","Prob(3)","Prob(4)","Prob(5)","Prob(6)","Prob(7)","Prob(8)","Prob(9)","Prob(10)","Prob(11)","Prob(12)","Prob(13)","Prob(14)","Prob(15)","Prob(16)","Prob(17)","Prob(18)","Prob(19)","Prob(20)","Prob(21)","Prob(22)","Prob(23)","Prob(24)","Prob(25)"
"CZ05",8,7.16942709997179e-27,1.30869474609406e-37,4.60436634032815e-56,2.14170117102714e-18,1.39968724793946e-19,2.69442866736501e-08,1.13341438258132e-12,0.99999997299759,1.13574181019653e-36,3.86540435509984e-13,4.28465163748119e-37,4.10983420238569e-15,1.23598978056511e-33,3.78547833014675e-27,1.47745336488439e-62,1.83026604477471e-50,1.45416527886937e-22,8.3625017554936e-50,7.93731098048999e-18,1.97376727986511e-13,4.0722859904395e-11,2.38408344975309e-70,1.56789795162099e-11,3.04121991911778e-37,2.81174844016657e-103
"CZ06",8,6.68648509112673e-24,3.83304921024981e-32,2.84237414475061e-49,1.90198167610834e-15,1.54096521100957e-16,2.65159264634853e-07,1.9645720294043e-13,0.999999688744755,1.02510277264908e-30,5.5503161241667e-11,1.61007434590691e-38,2.50213249519522e-17,3.57341965374995e-29,3.66354051361926e-23,4.36250742021481e-58,4.79055586363924e-48,5.33896041673934e-21,1.60884037285176e-44,2.32165909554374e-17,6.55424743566136e-13,4.59152459742492e-08,1.75736462510954e-68,1.24377843050072e-10,5.60140556498513e-36,5.16634645093208e-97
"CZ07",8,1.21940869762087e-29,8.27856659581969e-36,7.21496431198905e-52,4.62633425246096e-14,2.40450133086175e-15,0.0423844122843837,2.18485048286493e-17,0.957606041045974,6.75276169986738e-34,1.58766414904878e-14,1.02613243682193e-49,2.80766578476818e-24,3.37882814094662e-29,7.48507822906661e-18,2.59778741586734e-67,4.94561385441349e-59,1.10044263155828e-22,2.33127226166864e-51,9.68643540595852e-23,1.30501905807154e-10,9.54653861435733e-06,2.84214733474069e-80,4.6106200087578e-13,2.16356992575845e-45,2.91659946420067e-109
"CZ08",6,9.6137563822011e-26,2.77565050576705e-34,2.99890454599502e-50,1.80655500696759e-14,5.46829028522021e-13,0.476409388412458,1.51375262447632e-12,0.523261536480816,1.62104610260092e-33,5.76091635364178e-12,1.03457411357439e-43,3.9358928368575e-17,9.04044577051249e-25,1.38595822435517e-16,6.2626406374057e-59,8.47239768112928e-51,2.64567445795773e-17,5.34350039821855e-49,2.30098115425534e-17,8.9232945663565e-07,0.000328171328115291,1.82575913733891e-68,1.14413140359653e-08,1.73348270735519e-41,1.62067644228967e-102
"DE11",9,4.46710316785884e-05,5.85809743288577e-28,0.0317638161144702,4.75902569587851e-19,1.81123233471108e-47,1.56594620390364e-79,3.64140288280221e-29,1.84401625665168e-41,0.968191047617504,1.76342707586956e-14,4.0077354998245e-45,4.93704333743709e-45,1.17784303944416e-84,8.12075456004524e-73,2.1315248342915e-28,1.9196774356107e-18,4.990627315307e-75,7.80768675692356e-14,1.46141262752099e-24,2.26629488750114e-83,1.58214254085208e-56,4.04074984847683e-35,3.26369515130252e-34,4.65236252055837e-07,1.16528850775288e-18
"DE12",3,0.105238995973163,2.43052831669723e-26,0.66810351418088,8.69813494567352e-10,4.85104101164704e-36,7.6285941734821e-63,1.33670231253121e-18,6.31277926750295e-31,0.226654276363608,1.57038241271628e-09,1.71220057060063e-41,1.64233613865088e-34,2.34459901660452e-75,2.39661038160106e-58,1.14527129035614e-26,1.09164535563328e-17,9.06591423944131e-63,1.06143746172517e-15,1.92491991503012e-16,7.67411569940754e-68,1.58522463590692e-46,3.57809822852038e-33,2.54188395225176e-24,3.21104215194834e-06,1.53680301628143e-24
"DE13",3,0.00117977198516646,1.15489395249004e-34,0.998819976473715,9.30319530716936e-09,1.21900464348452e-34,1.01911714766921e-62,1.23188438667931e-15,4.91423438914969e-36,2.42200685046595e-07,6.13909004580019e-12,1.39196838439014e-48,5.4244204803092e-34,3.12113093596613e-77,6.794877945414e-56,4.98595218834352e-26,8.85625248378043e-18,2.57345453593214e-62,1.08713509978629e-21,3.91825076746709e-15,5.31711960382073e-67,3.76638617017321e-49,1.79421575413571e-31,4.11027686065129e-24,3.10939871966903e-11,3.14675065013603e-28
"DE14",3,0.0279560596700449,6.35789053014901e-28,0.972033822713535,4.13358614070952e-10,7.4578635807203e-34,2.50636320203216e-64,6.36559478125773e-18,2.7786015158288e-34,1.00613931769045e-05,2.53010940858351e-12,1.46716369255241e-42,1.32249224580909e-33,8.11710034696607e-73,2.74331061316503e-56,2.45407379721886e-22,7.00569138200985e-16,1.64802681914938e-58,1.29759020458087e-16,5.01184765964543e-15,1.765393545936e-68,5.71096310156924e-50,8.66962266344044e-34,4.86675522904156e-25,5.5807349144479e-08,1.15830848639551e-23
"DE21",9,5.27427285759836e-10,3.49221644725401e-27,0.010895032649973,1.15057680173518e-24,1.31187792645635e-53,4.81197256664773e-91,6.18361272554736e-41,1.65607516643572e-49,0.989104966803722,1.7198831910846e-20,1.29415628250137e-52,2.68329860163452e-58,2.14400442121667e-87,1.66962538730223e-79,1.41022758587426e-31,1.42351343535986e-23,6.56823727001572e-82,9.85658230347912e-12,1.48814249236643e-33,8.55593827395771e-96,1.03484200888357e-63,2.47550959385675e-47,1.57201066222448e-44,9.02129347096925e-12,7.64744558029232e-18
"DE22",3,1.00393476198023e-05,4.64658020471962e-37,0.999985719567175,2.58708815503258e-06,3.2880252570209e-36,1.8350679818337e-55,2.98213510787366e-17,4.85486066558328e-33,1.65399696959101e-06,7.91849487902372e-14,3.00860808223959e-56,2.88341948523046e-37,3.46937687503386e-87,1.13349759986141e-53,6.89887298649954e-36,1.11806102676536e-28,4.72194326252655e-71,5.86461903175197e-31,1.57960432496858e-19,1.53201565748638e-63,1.50280694418135e-46,7.66015057863264e-31,1.58436273318547e-22,1.24318714809249e-15,2.73990082982541e-35
