"";"F00";"F01";"F02";"F03";"F04";"F05";"F06";"F07";"F08";"F09";"F10"
"ITI2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ITI3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ITI4";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"LT";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"LT0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"LT00";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"LU";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"LU0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"LU00";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"LV";NA;3.20254247646987;3.20254247646987;2.0290917980687;25.6814570345923;1.19789756753453;2.18799657743552;12.0767632318787;24.2024202420242;1.02676934360103;25.1925192519252
"LV0";NA;3.20254247646987;3.20254247646987;2.0290917980687;25.6814570345923;1.19789756753453;2.18799657743552;12.0767632318787;24.2024202420242;1.02676934360103;25.1925192519252
"LV00";NA;3.20254247646987;3.20254247646987;2.0290917980687;25.6814570345923;1.19789756753453;2.18799657743552;12.0767632318787;24.2024202420242;1.02676934360103;25.1925192519252
"MT";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"MT0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"MT00";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NL";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NL1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NL11";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NL12";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NL13";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NL2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NL21";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NL22";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NL23";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NL3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NL31";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NL32";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NL33";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NL34";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NL4";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NL41";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NL42";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"PL";NA;NA;NA;NA;33.3333333333333;NA;NA;NA;25.9259259259259;NA;14.8148148148148
"PL1";NA;NA;NA;NA;16;NA;NA;NA;8;NA;28
"PL11";NA;NA;NA;NA;13.0434782608696;NA;NA;NA;26.0869565217391;NA;30.4347826086957
"PL12";NA;NA;NA;NA;20.6896551724138;NA;NA;NA;6.89655172413793;NA;24.1379310344828
"PL2";NA;NA;NA;NA;4.16666666666667;NA;NA;NA;20.8333333333333;NA;25
"PL21";NA;NA;NA;NA;26.9230769230769;NA;NA;NA;15.3846153846154;NA;7.69230769230769
"PL22";NA;NA;NA;NA;34.6153846153846;NA;NA;NA;11.5384615384615;NA;15.3846153846154
"PL3";NA;NA;NA;NA;30;NA;NA;NA;26.6666666666667;NA;13.3333333333333
"PL31";NA;NA;NA;NA;10;NA;NA;NA;40;NA;30
"PL32";NA;NA;NA;NA;16.6666666666667;NA;NA;NA;11.1111111111111;NA;38.8888888888889
"PL33";NA;NA;NA;NA;3.84615384615385;NA;NA;NA;26.9230769230769;NA;23.0769230769231
"PL34";NA;NA;NA;NA;3.84615384615385;NA;NA;NA;34.6153846153846;NA;23.0769230769231
"PL4";NA;NA;NA;NA;3.84615384615385;NA;NA;NA;34.6153846153846;NA;23.0769230769231
"PL41";NA;NA;NA;NA;30;NA;NA;NA;20;NA;10
"PL42";NA;NA;NA;NA;9.09090909090909;NA;NA;NA;4.54545454545455;NA;31.8181818181818
"PL43";NA;NA;NA;NA;10;NA;NA;NA;5;NA;25
"PL5";NA;NA;NA;NA;32;NA;NA;NA;28;NA;12
"PL51";NA;NA;NA;NA;24.1379310344828;NA;NA;NA;20.6896551724138;NA;6.89655172413793
"PL52";NA;NA;NA;NA;9.09090909090909;NA;NA;NA;4.54545454545455;NA;27.2727272727273
"PL6";NA;NA;NA;NA;3.7037037037037;NA;NA;NA;33.3333333333333;NA;22.2222222222222
"PL61";NA;NA;NA;NA;11.5384615384615;NA;NA;NA;7.69230769230769;NA;30.7692307692308
"PL62";NA;NA;NA;NA;9.09090909090909;NA;NA;NA;4.54545454545455;NA;31.8181818181818
"PL63";NA;NA;NA;NA;20.8333333333333;NA;NA;NA;12.5;NA;33.3333333333333
"PT";NA;NA;NA;NA;5;NA;NA;NA;25;NA;45
"PT1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"PT11";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"PT15";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"PT16";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"PT17";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"PT18";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"PT2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"PT20";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
