"sex";"age";"unit";"geo";"X2014"
"T";"TOTAL";"PPS_HAB";"LU0";73000
"T";"TOTAL";"PPS_HAB";"LU00";73000
"T";"TOTAL";"PPS_HAB";"LV";17500
"T";"TOTAL";"PPS_HAB";"LV0";17500
"T";"TOTAL";"PPS_HAB";"LV00";17500
"T";"TOTAL";"PPS_HAB";"MT";23600
"T";"TOTAL";"PPS_HAB";"MT0";23600
"T";"TOTAL";"PPS_HAB";"MT00";23600
"T";"TOTAL";"PPS_HAB";"NL";35900
"T";"TOTAL";"PPS_HAB";"NL1";32100
"T";"TOTAL";"PPS_HAB";"NL11";44800
"T";"TOTAL";"PPS_HAB";"NL12";25600
"T";"TOTAL";"PPS_HAB";"NL13";25800
"T";"TOTAL";"PPS_HAB";"NL2";29600
"T";"TOTAL";"PPS_HAB";"NL21";29300
"T";"TOTAL";"PPS_HAB";"NL22";30100
"T";"TOTAL";"PPS_HAB";"NL23";27400
"T";"TOTAL";"PPS_HAB";"NL3";39500
"T";"TOTAL";"PPS_HAB";"NL31";42400
"T";"TOTAL";"PPS_HAB";"NL32";44300
"T";"TOTAL";"PPS_HAB";"NL33";36100
"T";"TOTAL";"PPS_HAB";"NL34";27400
"T";"TOTAL";"PPS_HAB";"NL4";34700
"T";"TOTAL";"PPS_HAB";"NL41";36900
"T";"TOTAL";"PPS_HAB";"NL42";30000
"T";"TOTAL";"PPS_HAB";"PL";18600
"T";"TOTAL";"PPS_HAB";"PL1";25800
"T";"TOTAL";"PPS_HAB";"PL11";17400
"T";"TOTAL";"PPS_HAB";"PL12";29800
"T";"TOTAL";"PPS_HAB";"PL2";18100
"T";"TOTAL";"PPS_HAB";"PL21";16600
"T";"TOTAL";"PPS_HAB";"PL22";19300
"T";"TOTAL";"PPS_HAB";"PL3";13200
"T";"TOTAL";"PPS_HAB";"PL31";13000
"T";"TOTAL";"PPS_HAB";"PL32";13200
"T";"TOTAL";"PPS_HAB";"PL33";13500
"T";"TOTAL";"PPS_HAB";"PL34";13400
"T";"TOTAL";"PPS_HAB";"PL4";18000
"T";"TOTAL";"PPS_HAB";"PL41";20000
"T";"TOTAL";"PPS_HAB";"PL42";15600
"T";"TOTAL";"PPS_HAB";"PL43";15600
"T";"TOTAL";"PPS_HAB";"PL5";19300
"T";"TOTAL";"PPS_HAB";"PL51";20800
"T";"TOTAL";"PPS_HAB";"PL52";15000
"T";"TOTAL";"PPS_HAB";"PL6";15700
"T";"TOTAL";"PPS_HAB";"PL61";15100
"T";"TOTAL";"PPS_HAB";"PL62";13300
"T";"TOTAL";"PPS_HAB";"PL63";17700
"T";"TOTAL";"PPS_HAB";"PT";21400
"T";"TOTAL";"PPS_HAB";"PT1";21500
"T";"TOTAL";"PPS_HAB";"PT11";17800
"T";"TOTAL";"PPS_HAB";"PT15";21300
"T";"TOTAL";"PPS_HAB";"PT16";18500
"T";"TOTAL";"PPS_HAB";"PT17";29300
"T";"TOTAL";"PPS_HAB";"PT18";19300
"T";"TOTAL";"PPS_HAB";"PT2";19400
"T";"TOTAL";"PPS_HAB";"PT20";19400
"T";"TOTAL";"PPS_HAB";"PT3";20200
"T";"TOTAL";"PPS_HAB";"PT30";20200
"T";"TOTAL";"PPS_HAB";"RO";15200
"T";"TOTAL";"PPS_HAB";"RO1";13600
"T";"TOTAL";"PPS_HAB";"RO11";13100
"T";"TOTAL";"PPS_HAB";"RO12";14200
"T";"TOTAL";"PPS_HAB";"RO2";11300
"T";"TOTAL";"PPS_HAB";"RO21";9500
"T";"TOTAL";"PPS_HAB";"RO22";13600
"T";"TOTAL";"PPS_HAB";"RO3";22000
"T";"TOTAL";"PPS_HAB";"RO31";11900
"T";"TOTAL";"PPS_HAB";"RO32";35600
"T";"TOTAL";"PPS_HAB";"RO4";13400
"T";"TOTAL";"PPS_HAB";"RO41";11200
"T";"TOTAL";"PPS_HAB";"RO42";15800
"T";"TOTAL";"PPS_HAB";"SE";33700
"T";"TOTAL";"PPS_HAB";"SE1";39500
"T";"TOTAL";"PPS_HAB";"SE11";47200
"T";"TOTAL";"PPS_HAB";"SE12";29000
"T";"TOTAL";"PPS_HAB";"SE2";30400
"T";"TOTAL";"PPS_HAB";"SE21";28500
"T";"TOTAL";"PPS_HAB";"SE22";28800
"T";"TOTAL";"PPS_HAB";"SE23";32500
"T";"TOTAL";"PPS_HAB";"SE3";28900
"T";"TOTAL";"PPS_HAB";"SE31";27200
"T";"TOTAL";"PPS_HAB";"SE32";29400
"T";"TOTAL";"PPS_HAB";"SE33";31300
"T";"TOTAL";"PPS_HAB";"SI";22600
"T";"TOTAL";"PPS_HAB";"SI0";22600
"T";"TOTAL";"PPS_HAB";"SI03";18800
"T";"TOTAL";"PPS_HAB";"SI04";27000
"T";"TOTAL";"PPS_HAB";"SK";21100
"T";"TOTAL";"PPS_HAB";"SK0";21100
"T";"TOTAL";"PPS_HAB";"SK01";51200
"T";"TOTAL";"PPS_HAB";"SK02";19800
"T";"TOTAL";"PPS_HAB";"SK03";16700
"T";"TOTAL";"PPS_HAB";"SK04";14600
"T";"TOTAL";"PPS_HAB";"UK";29900
"T";"TOTAL";"PPS_HAB";"UKC";21800
"T";"TOTAL";"PPS_HAB";"UKC1";20500
"T";"TOTAL";"PPS_HAB";"UKC2";23000
"T";"TOTAL";"PPS_HAB";"UKD";25200
"T";"TOTAL";"PPS_HAB";"UKD1";25900
"T";"TOTAL";"PPS_HAB";"UKD3";25200
"T";"TOTAL";"PPS_HAB";"UKD4";22500
"T";"TOTAL";"PPS_HAB";"UKD6";33900
"T";"TOTAL";"PPS_HAB";"UKD7";22300
"T";"TOTAL";"PPS_HAB";"UKE";23800
"T";"TOTAL";"PPS_HAB";"UKE1";22700
"T";"TOTAL";"PPS_HAB";"UKE2";26800
"T";"TOTAL";"PPS_HAB";"UKE3";20900
"T";"TOTAL";"PPS_HAB";"UKE4";25000
"T";"TOTAL";"PPS_HAB";"UKF";24600
"T";"TOTAL";"PPS_HAB";"UKF1";24000
"T";"TOTAL";"PPS_HAB";"UKF2";26400
"T";"TOTAL";"PPS_HAB";"UKF3";22200
"T";"TOTAL";"PPS_HAB";"UKG";24100
"T";"TOTAL";"PPS_HAB";"UKG1";26700
"T";"TOTAL";"PPS_HAB";"UKG2";22500
"T";"TOTAL";"PPS_HAB";"UKG3";23700
"T";"TOTAL";"PPS_HAB";"UKH";27700
"T";"TOTAL";"PPS_HAB";"UKH1";27700
"T";"TOTAL";"PPS_HAB";"UKH2";30900
"T";"TOTAL";"PPS_HAB";"UKH3";24300
"T";"TOTAL";"PPS_HAB";"UKI";51200
"T";"TOTAL";"PPS_HAB";"UKI3";148000
"T";"TOTAL";"PPS_HAB";"UKI4";56100
"T";"TOTAL";"PPS_HAB";"UKI5";22400
"T";"TOTAL";"PPS_HAB";"UKI6";27100
"T";"TOTAL";"PPS_HAB";"UKI7";33300
"T";"TOTAL";"PPS_HAB";"UKJ";32400
"T";"TOTAL";"PPS_HAB";"UKJ1";41100
"T";"TOTAL";"PPS_HAB";"UKJ2";31600
"T";"TOTAL";"PPS_HAB";"UKJ3";30700
"T";"TOTAL";"PPS_HAB";"UKJ4";24100
"T";"TOTAL";"PPS_HAB";"UKK";26800
"T";"TOTAL";"PPS_HAB";"UKK1";30800
"T";"TOTAL";"PPS_HAB";"UKK2";24700
"T";"TOTAL";"PPS_HAB";"UKK3";20700
"T";"TOTAL";"PPS_HAB";"UKK4";23500
"T";"TOTAL";"PPS_HAB";"UKL";21100
"T";"TOTAL";"PPS_HAB";"UKL1";18900
"T";"TOTAL";"PPS_HAB";"UKL2";24800
"T";"TOTAL";"PPS_HAB";"UKM";27700
"T";"TOTAL";"PPS_HAB";"UKM2";27200
"T";"TOTAL";"PPS_HAB";"UKM3";25000
"T";"TOTAL";"PPS_HAB";"UKM5";44900
"T";"TOTAL";"PPS_HAB";"UKM6";25600
"T";"TOTAL";"PPS_HAB";"UKN";22400
"T";"TOTAL";"PPS_HAB";"UKN0";22400
