"";"lmktm_OC0";"lmktm_OC1";"lmktm_OC2";"lmktm_OC3";"lmktm_OC4";"lmktm_OC5";"lmktm_OC6";"lmktm_OC7";"lmktm_OC8";"lmktm_OC9";"lmktm_ED0-2";"lmktm_ED3_4";"lmktm_ED5-8";"lmktm_Total"
"FR42";NA;27.7570674122398;27.3827493261456;22.7683830135564;23.8819523269012;27.7047116492112;NA;21.0707160274884;23.5622168002788;26.4150943396226;31.0297076267865;21.4122673533887;26.3567255578236;24.9448618250516
"FR43";NA;27.7570674122398;27.3827493261456;22.7683830135564;23.8819523269012;27.7047116492112;NA;21.0707160274884;23.5622168002788;26.4150943396226;31.0297076267865;21.4122673533887;26.3567255578236;24.9448618250516
"FR5";NA;27.7570674122398;27.3827493261456;22.7683830135564;23.8819523269012;27.7047116492112;NA;21.0707160274884;23.5622168002788;26.4150943396226;31.0297076267865;21.4122673533887;26.3567255578236;24.9448618250516
"FR51";NA;27.7570674122398;27.3827493261456;22.7683830135564;23.8819523269012;27.7047116492112;NA;21.0707160274884;23.5622168002788;26.4150943396226;31.0297076267865;21.4122673533887;26.3567255578236;24.9448618250516
"FR52";NA;27.7570674122398;27.3827493261456;22.7683830135564;23.8819523269012;27.7047116492112;NA;21.0707160274884;23.5622168002788;26.4150943396226;31.0297076267865;21.4122673533887;26.3567255578236;24.9448618250516
"FR53";NA;27.7570674122398;27.3827493261456;22.7683830135564;23.8819523269012;27.7047116492112;NA;21.0707160274884;23.5622168002788;26.4150943396226;31.0297076267865;21.4122673533887;26.3567255578236;24.9448618250516
"FR6";NA;27.7570674122398;27.3827493261456;22.7683830135564;23.8819523269012;27.7047116492112;NA;21.0707160274884;23.5622168002788;26.4150943396226;31.0297076267865;21.4122673533887;26.3567255578236;24.9448618250516
"FR61";NA;27.7570674122398;27.3827493261456;22.7683830135564;23.8819523269012;27.7047116492112;NA;21.0707160274884;23.5622168002788;26.4150943396226;31.0297076267865;21.4122673533887;26.3567255578236;24.9448618250516
"FR62";NA;27.7570674122398;27.3827493261456;22.7683830135564;23.8819523269012;27.7047116492112;NA;21.0707160274884;23.5622168002788;26.4150943396226;31.0297076267865;21.4122673533887;26.3567255578236;24.9448618250516
"FR63";NA;27.7570674122398;27.3827493261456;22.7683830135564;23.8819523269012;27.7047116492112;NA;21.0707160274884;23.5622168002788;26.4150943396226;31.0297076267865;21.4122673533887;26.3567255578236;24.9448618250516
"FR7";NA;27.7570674122398;27.3827493261456;22.7683830135564;23.8819523269012;27.7047116492112;NA;21.0707160274884;23.5622168002788;26.4150943396226;31.0297076267865;21.4122673533887;26.3567255578236;24.9448618250516
"FR71";NA;27.7570674122398;27.3827493261456;22.7683830135564;23.8819523269012;27.7047116492112;NA;21.0707160274884;23.5622168002788;26.4150943396226;31.0297076267865;21.4122673533887;26.3567255578236;24.9448618250516
"FR72";NA;27.7570674122398;27.3827493261456;22.7683830135564;23.8819523269012;27.7047116492112;NA;21.0707160274884;23.5622168002788;26.4150943396226;31.0297076267865;21.4122673533887;26.3567255578236;24.9448618250516
"FR8";NA;27.7570674122398;27.3827493261456;22.7683830135564;23.8819523269012;27.7047116492112;NA;21.0707160274884;23.5622168002788;26.4150943396226;31.0297076267865;21.4122673533887;26.3567255578236;24.9448618250516
"FR81";NA;27.7570674122398;27.3827493261456;22.7683830135564;23.8819523269012;27.7047116492112;NA;21.0707160274884;23.5622168002788;26.4150943396226;31.0297076267865;21.4122673533887;26.3567255578236;24.9448618250516
"FR82";NA;27.7570674122398;27.3827493261456;22.7683830135564;23.8819523269012;27.7047116492112;NA;21.0707160274884;23.5622168002788;26.4150943396226;31.0297076267865;21.4122673533887;26.3567255578236;24.9448618250516
"FR83";NA;27.7570674122398;27.3827493261456;22.7683830135564;23.8819523269012;27.7047116492112;NA;21.0707160274884;23.5622168002788;26.4150943396226;31.0297076267865;21.4122673533887;26.3567255578236;24.9448618250516
"FRA";NA;27.7570674122398;27.3827493261456;22.7683830135564;23.8819523269012;27.7047116492112;NA;21.0707160274884;23.5622168002788;26.4150943396226;31.0297076267865;21.4122673533887;26.3567255578236;24.9448618250516
"FRA1";NA;27.7570674122398;27.3827493261456;22.7683830135564;23.8819523269012;27.7047116492112;NA;21.0707160274884;23.5622168002788;26.4150943396226;31.0297076267865;21.4122673533887;26.3567255578236;24.9448618250516
"FRA2";NA;27.7570674122398;27.3827493261456;22.7683830135564;23.8819523269012;27.7047116492112;NA;21.0707160274884;23.5622168002788;26.4150943396226;31.0297076267865;21.4122673533887;26.3567255578236;24.9448618250516
"FRA3";NA;27.7570674122398;27.3827493261456;22.7683830135564;23.8819523269012;27.7047116492112;NA;21.0707160274884;23.5622168002788;26.4150943396226;31.0297076267865;21.4122673533887;26.3567255578236;24.9448618250516
"FRA4";NA;27.7570674122398;27.3827493261456;22.7683830135564;23.8819523269012;27.7047116492112;NA;21.0707160274884;23.5622168002788;26.4150943396226;31.0297076267865;21.4122673533887;26.3567255578236;24.9448618250516
"FRA5";NA;27.7570674122398;27.3827493261456;22.7683830135564;23.8819523269012;27.7047116492112;NA;21.0707160274884;23.5622168002788;26.4150943396226;31.0297076267865;21.4122673533887;26.3567255578236;24.9448618250516
"HR";NA;NA;14.8534725010036;16.2707306140744;15.9488559892328;17.2753385309807;NA;18.102029621503;18.4294871794872;21.9607843137255;25.5238095238095;16.6065849555395;16.2363587969124;17.2061847817808
"HR0";NA;NA;14.8534725010036;16.2707306140744;15.9488559892328;17.2753385309807;NA;18.102029621503;18.4294871794872;21.9607843137255;25.5238095238095;16.6065849555395;16.2363587969124;17.2061847817808
"HR03";NA;NA;14.8534725010036;16.2707306140744;15.9488559892328;17.2753385309807;NA;18.102029621503;18.4294871794872;21.9607843137255;25.5238095238095;16.6065849555395;16.2363587969124;17.2061847817808
"HR04";NA;NA;14.8534725010036;16.2707306140744;15.9488559892328;17.2753385309807;NA;18.102029621503;18.4294871794872;21.9607843137255;25.5238095238095;16.6065849555395;16.2363587969124;17.2061847817808
