"";"F00";"F01";"F02";"F03";"F04";"F05";"F06";"F07";"F08";"F09";"F10"
"DEB1";0;9.66972951738543;12.9111134532284;6.92811083750922;22.380400310437;10.2200845078519;4.36604738955054;21.4103804769615;1.92164339986011;7.37728635897632;2.79834050340618
"DEB2";0;9.66972951738543;12.9111134532284;6.92811083750922;22.380400310437;10.2200845078519;4.36604738955054;21.4103804769615;1.92164339986011;7.37728635897632;2.79834050340618
"DEB3";0;9.66972951738543;12.9111134532284;6.92811083750922;22.380400310437;10.2200845078519;4.36604738955054;21.4103804769615;1.92164339986011;7.37728635897632;2.79834050340618
"DEC";0;9.66972951738543;12.9111134532284;6.92811083750922;22.380400310437;10.2200845078519;4.36604738955054;21.4103804769615;1.92164339986011;7.37728635897632;2.79834050340618
"DEC0";0;9.66972951738543;12.9111134532284;6.92811083750922;22.380400310437;10.2200845078519;4.36604738955054;21.4103804769615;1.92164339986011;7.37728635897632;2.79834050340618
"DED";0;9.66972951738543;12.9111134532284;6.92811083750922;22.380400310437;10.2200845078519;4.36604738955054;21.4103804769615;1.92164339986011;7.37728635897632;2.79834050340618
"DED2";0;9.66972951738543;12.9111134532284;6.92811083750922;22.380400310437;10.2200845078519;4.36604738955054;21.4103804769615;1.92164339986011;7.37728635897632;2.79834050340618
"DED4";0;9.66972951738543;12.9111134532284;6.92811083750922;22.380400310437;10.2200845078519;4.36604738955054;21.4103804769615;1.92164339986011;7.37728635897632;2.79834050340618
"DED5";0;9.66972951738543;12.9111134532284;6.92811083750922;22.380400310437;10.2200845078519;4.36604738955054;21.4103804769615;1.92164339986011;7.37728635897632;2.79834050340618
"DEE";0;9.66972951738543;12.9111134532284;6.92811083750922;22.380400310437;10.2200845078519;4.36604738955054;21.4103804769615;1.92164339986011;7.37728635897632;2.79834050340618
"DEE0";0;9.66972951738543;12.9111134532284;6.92811083750922;22.380400310437;10.2200845078519;4.36604738955054;21.4103804769615;1.92164339986011;7.37728635897632;2.79834050340618
"DEF";0;9.66972951738543;12.9111134532284;6.92811083750922;22.380400310437;10.2200845078519;4.36604738955054;21.4103804769615;1.92164339986011;7.37728635897632;2.79834050340618
"DEF0";0;9.66972951738543;12.9111134532284;6.92811083750922;22.380400310437;10.2200845078519;4.36604738955054;21.4103804769615;1.92164339986011;7.37728635897632;2.79834050340618
"DEG";0;9.66972951738543;12.9111134532284;6.92811083750922;22.380400310437;10.2200845078519;4.36604738955054;21.4103804769615;1.92164339986011;7.37728635897632;2.79834050340618
"DEG0";0;9.66972951738543;12.9111134532284;6.92811083750922;22.380400310437;10.2200845078519;4.36604738955054;21.4103804769615;1.92164339986011;7.37728635897632;2.79834050340618
"DK";NA;7.3769324943769;11.7358995529995;8.47450388634228;26.4456339150984;3.85075306779034;4.38459129345443;12.5473336560089;1.34100162286821;NA;2.6236369330638
"DK0";NA;7.3769324943769;11.7358995529995;8.47450388634228;26.4456339150984;3.85075306779034;4.38459129345443;12.5473336560089;1.34100162286821;NA;2.6236369330638
"DK01";NA;7.3769324943769;11.7358995529995;8.47450388634228;26.4456339150984;3.85075306779034;4.38459129345443;12.5473336560089;1.34100162286821;NA;2.6236369330638
"DK02";NA;7.3769324943769;11.7358995529995;8.47450388634228;26.4456339150984;3.85075306779034;4.38459129345443;12.5473336560089;1.34100162286821;NA;2.6236369330638
"DK03";NA;7.3769324943769;11.7358995529995;8.47450388634228;26.4456339150984;3.85075306779034;4.38459129345443;12.5473336560089;1.34100162286821;NA;2.6236369330638
"DK04";NA;7.3769324943769;11.7358995529995;8.47450388634228;26.4456339150984;3.85075306779034;4.38459129345443;12.5473336560089;1.34100162286821;NA;2.6236369330638
"DK05";NA;7.3769324943769;11.7358995529995;8.47450388634228;26.4456339150984;3.85075306779034;4.38459129345443;12.5473336560089;1.34100162286821;NA;2.6236369330638
"EE";NA;7.78213935230618;13.0421982335623;8.03729146221786;23.1108930323847;6.4180569185476;5.20117762512267;14.7890088321884;1.95289499509323;13.071638861629;6.59470068694799
"EE0";NA;7.78213935230618;13.0421982335623;8.03729146221786;23.1108930323847;6.4180569185476;5.20117762512267;14.7890088321884;1.95289499509323;13.071638861629;6.59470068694799
"EE00";NA;7.78213935230618;13.0421982335623;8.03729146221786;23.1108930323847;6.4180569185476;5.20117762512267;14.7890088321884;1.95289499509323;13.071638861629;6.59470068694799
"EL";NA;9.84846233843411;11.3549249740009;12.7157926013965;19.7192096270985;7.40157480314961;4.36785024513445;18.0775516268014;4.01574803149606;10.8958549992572;1.60303075323132
"EL3";NA;9.84846233843411;11.3549249740009;12.7157926013965;19.7192096270985;7.40157480314961;4.36785024513445;18.0775516268014;4.01574803149606;10.8958549992572;1.60303075323132
"EL30";NA;9.84846233843411;11.3549249740009;12.7157926013965;19.7192096270985;7.40157480314961;4.36785024513445;18.0775516268014;4.01574803149606;10.8958549992572;1.60303075323132
"EL4";NA;9.84846233843411;11.3549249740009;12.7157926013965;19.7192096270985;7.40157480314961;4.36785024513445;18.0775516268014;4.01574803149606;10.8958549992572;1.60303075323132
"EL41";NA;9.84846233843411;11.3549249740009;12.7157926013965;19.7192096270985;7.40157480314961;4.36785024513445;18.0775516268014;4.01574803149606;10.8958549992572;1.60303075323132
"EL42";NA;9.84846233843411;11.3549249740009;12.7157926013965;19.7192096270985;7.40157480314961;4.36785024513445;18.0775516268014;4.01574803149606;10.8958549992572;1.60303075323132
"EL43";NA;9.84846233843411;11.3549249740009;12.7157926013965;19.7192096270985;7.40157480314961;4.36785024513445;18.0775516268014;4.01574803149606;10.8958549992572;1.60303075323132
"EL5";NA;9.84846233843411;11.3549249740009;12.7157926013965;19.7192096270985;7.40157480314961;4.36785024513445;18.0775516268014;4.01574803149606;10.8958549992572;1.60303075323132
"EL51";NA;9.84846233843411;11.3549249740009;12.7157926013965;19.7192096270985;7.40157480314961;4.36785024513445;18.0775516268014;4.01574803149606;10.8958549992572;1.60303075323132
"EL52";NA;9.84846233843411;11.3549249740009;12.7157926013965;19.7192096270985;7.40157480314961;4.36785024513445;18.0775516268014;4.01574803149606;10.8958549992572;1.60303075323132
"EL53";NA;9.84846233843411;11.3549249740009;12.7157926013965;19.7192096270985;7.40157480314961;4.36785024513445;18.0775516268014;4.01574803149606;10.8958549992572;1.60303075323132
"EL54";NA;9.84846233843411;11.3549249740009;12.7157926013965;19.7192096270985;7.40157480314961;4.36785024513445;18.0775516268014;4.01574803149606;10.8958549992572;1.60303075323132
"EL6";NA;9.84846233843411;11.3549249740009;12.7157926013965;19.7192096270985;7.40157480314961;4.36785024513445;18.0775516268014;4.01574803149606;10.8958549992572;1.60303075323132
"EL61";NA;9.84846233843411;11.3549249740009;12.7157926013965;19.7192096270985;7.40157480314961;4.36785024513445;18.0775516268014;4.01574803149606;10.8958549992572;1.60303075323132
"EL62";NA;9.84846233843411;11.3549249740009;12.7157926013965;19.7192096270985;7.40157480314961;4.36785024513445;18.0775516268014;4.01574803149606;10.8958549992572;1.60303075323132
"EL63";NA;9.84846233843411;11.3549249740009;12.7157926013965;19.7192096270985;7.40157480314961;4.36785024513445;18.0775516268014;4.01574803149606;10.8958549992572;1.60303075323132
"EL64";NA;9.84846233843411;11.3549249740009;12.7157926013965;19.7192096270985;7.40157480314961;4.36785024513445;18.0775516268014;4.01574803149606;10.8958549992572;1.60303075323132
"EL65";NA;9.84846233843411;11.3549249740009;12.7157926013965;19.7192096270985;7.40157480314961;4.36785024513445;18.0775516268014;4.01574803149606;10.8958549992572;1.60303075323132
"ES";NA;16.2266168306938;8.79498151452334;7.36870123454562;19.5456565333021;NA;4.03116477676447;NA;1.18807816458052;15.1362105562335;NA
"ES1";NA;16.2266168306938;8.79498151452334;7.36870123454562;19.5456565333021;NA;4.03116477676447;NA;1.18807816458052;15.1362105562335;NA
"ES11";NA;16.2266168306938;8.79498151452334;7.36870123454562;19.5456565333021;NA;4.03116477676447;NA;1.18807816458052;15.1362105562335;NA
"ES12";NA;16.2266168306938;8.79498151452334;7.36870123454562;19.5456565333021;NA;4.03116477676447;NA;1.18807816458052;15.1362105562335;NA
