"sex";"age";"unit";"isco08";"isced11";"mgstatus";"geo";"X2014"
"T";"TOTAL";"THS_PER";"OC3";"ED0-2";"TOTAL";"BG";NA
"T";"TOTAL";"THS_PER";"OC3";"ED3_4";"IMG";"BG";NA
"T";"TOTAL";"THS_PER";"OC3";"ED3_4";"TOTAL";"BG";125.2
"T";"TOTAL";"THS_PER";"OC3";"ED5-8";"IMG";"BG";NA
"T";"TOTAL";"THS_PER";"OC3";"ED5-8";"TOTAL";"BG";127.9
"T";"TOTAL";"THS_PER";"OC3";"TOTAL";"IMG";"BG";NA
"T";"TOTAL";"THS_PER";"OC3";"TOTAL";"TOTAL";"BG";254.1
"T";"TOTAL";"THS_PER";"OC4";"ED0-2";"IMG";"BG";NA
"T";"TOTAL";"THS_PER";"OC4";"ED0-2";"TOTAL";"BG";NA
"T";"TOTAL";"THS_PER";"OC4";"ED3_4";"IMG";"BG";NA
"T";"TOTAL";"THS_PER";"OC4";"ED3_4";"TOTAL";"BG";125.7
"T";"TOTAL";"THS_PER";"OC4";"ED5-8";"IMG";"BG";NA
"T";"TOTAL";"THS_PER";"OC4";"ED5-8";"TOTAL";"BG";70.1
"T";"TOTAL";"THS_PER";"OC4";"TOTAL";"IMG";"BG";NA
"T";"TOTAL";"THS_PER";"OC4";"TOTAL";"TOTAL";"BG";197.9
"T";"TOTAL";"THS_PER";"OC5";"ED0-2";"IMG";"BG";NA
"T";"TOTAL";"THS_PER";"OC5";"ED0-2";"TOTAL";"BG";34
"T";"TOTAL";"THS_PER";"OC5";"ED3_4";"IMG";"BG";NA
"T";"TOTAL";"THS_PER";"OC5";"ED3_4";"TOTAL";"BG";429.4
"T";"TOTAL";"THS_PER";"OC5";"ED5-8";"IMG";"BG";NA
"T";"TOTAL";"THS_PER";"OC5";"ED5-8";"TOTAL";"BG";74.8
"T";"TOTAL";"THS_PER";"OC5";"TOTAL";"IMG";"BG";NA
"T";"TOTAL";"THS_PER";"OC5";"TOTAL";"TOTAL";"BG";538.1
"T";"TOTAL";"THS_PER";"OC6";"ED0-2";"IMG";"BG";NA
"T";"TOTAL";"THS_PER";"OC6";"ED0-2";"TOTAL";"BG";19.9
"T";"TOTAL";"THS_PER";"OC6";"ED3_4";"IMG";"BG";NA
"T";"TOTAL";"THS_PER";"OC6";"ED3_4";"TOTAL";"BG";15.9
"T";"TOTAL";"THS_PER";"OC6";"ED5-8";"IMG";"BG";NA
"T";"TOTAL";"THS_PER";"OC6";"ED5-8";"TOTAL";"BG";NA
"T";"TOTAL";"THS_PER";"OC6";"TOTAL";"IMG";"BG";NA
"T";"TOTAL";"THS_PER";"OC6";"TOTAL";"TOTAL";"BG";36.8
"T";"TOTAL";"THS_PER";"OC7";"ED0-2";"IMG";"BG";NA
"T";"TOTAL";"THS_PER";"OC7";"ED0-2";"TOTAL";"BG";46.2
"T";"TOTAL";"THS_PER";"OC7";"ED3_4";"IMG";"BG";NA
"T";"TOTAL";"THS_PER";"OC7";"ED3_4";"TOTAL";"BG";283
"T";"TOTAL";"THS_PER";"OC7";"ED5-8";"IMG";"BG";NA
"T";"TOTAL";"THS_PER";"OC7";"ED5-8";"TOTAL";"BG";22
"T";"TOTAL";"THS_PER";"OC7";"TOTAL";"IMG";"BG";NA
"T";"TOTAL";"THS_PER";"OC7";"TOTAL";"TOTAL";"BG";351.2
"T";"TOTAL";"THS_PER";"OC8";"ED0-2";"IMG";"BG";NA
"T";"TOTAL";"THS_PER";"OC8";"ED0-2";"TOTAL";"BG";41.4
"T";"TOTAL";"THS_PER";"OC8";"ED3_4";"IMG";"BG";NA
"T";"TOTAL";"THS_PER";"OC8";"ED3_4";"TOTAL";"BG";295.7
"T";"TOTAL";"THS_PER";"OC8";"ED5-8";"IMG";"BG";NA
"T";"TOTAL";"THS_PER";"OC8";"ED5-8";"TOTAL";"BG";16.4
"T";"TOTAL";"THS_PER";"OC8";"TOTAL";"IMG";"BG";NA
"T";"TOTAL";"THS_PER";"OC8";"TOTAL";"TOTAL";"BG";353.5
"T";"TOTAL";"THS_PER";"OC9";"ED0-2";"IMG";"BG";NA
"T";"TOTAL";"THS_PER";"OC9";"ED0-2";"TOTAL";"BG";106.8
"T";"TOTAL";"THS_PER";"OC9";"ED3_4";"IMG";"BG";NA
"T";"TOTAL";"THS_PER";"OC9";"ED3_4";"TOTAL";"BG";157.2
"T";"TOTAL";"THS_PER";"OC9";"ED5-8";"IMG";"BG";NA
"T";"TOTAL";"THS_PER";"OC9";"ED5-8";"TOTAL";"BG";10
"T";"TOTAL";"THS_PER";"OC9";"TOTAL";"IMG";"BG";NA
"T";"TOTAL";"THS_PER";"OC9";"TOTAL";"TOTAL";"BG";274
"T";"TOTAL";"THS_PER";"TOTAL";"ED0-2";"IMG";"BG";NA
"T";"TOTAL";"THS_PER";"TOTAL";"ED0-2";"TOTAL";"BG";252
"T";"TOTAL";"THS_PER";"TOTAL";"ED3_4";"IMG";"BG";9.7
"T";"TOTAL";"THS_PER";"TOTAL";"ED3_4";"TOTAL";"BG";1497.6
"T";"TOTAL";"THS_PER";"TOTAL";"ED5-8";"IMG";"BG";7.2
"T";"TOTAL";"THS_PER";"TOTAL";"ED5-8";"TOTAL";"BG";814.8
"T";"TOTAL";"THS_PER";"TOTAL";"TOTAL";"IMG";"BG";17.1
"T";"TOTAL";"THS_PER";"TOTAL";"TOTAL";"TOTAL";"BG";2564.4
"T";"TOTAL";"THS_PER";"OC0";"ED0-2";"IMG";"CY";NA
"T";"TOTAL";"THS_PER";"OC0";"ED0-2";"TOTAL";"CY";NA
"T";"TOTAL";"THS_PER";"OC0";"ED3_4";"IMG";"CY";0.5
"T";"TOTAL";"THS_PER";"OC0";"ED3_4";"TOTAL";"CY";1.7
"T";"TOTAL";"THS_PER";"OC0";"ED5-8";"IMG";"CY";NA
"T";"TOTAL";"THS_PER";"OC0";"ED5-8";"TOTAL";"CY";2.7
"T";"TOTAL";"THS_PER";"OC0";"TOTAL";"IMG";"CY";0.9
"T";"TOTAL";"THS_PER";"OC0";"TOTAL";"TOTAL";"CY";4.3
"T";"TOTAL";"THS_PER";"OC1";"ED0-2";"IMG";"CY";NA
"T";"TOTAL";"THS_PER";"OC1";"ED0-2";"TOTAL";"CY";NA
"T";"TOTAL";"THS_PER";"OC1";"ED3_4";"IMG";"CY";NA
"T";"TOTAL";"THS_PER";"OC1";"ED3_4";"TOTAL";"CY";1.5
"T";"TOTAL";"THS_PER";"OC1";"ED5-8";"IMG";"CY";2.6
"T";"TOTAL";"THS_PER";"OC1";"ED5-8";"TOTAL";"CY";8
"T";"TOTAL";"THS_PER";"OC1";"TOTAL";"IMG";"CY";2.8
"T";"TOTAL";"THS_PER";"OC1";"TOTAL";"TOTAL";"CY";9.9
"T";"TOTAL";"THS_PER";"OC2";"ED0-2";"IMG";"CY";NA
"T";"TOTAL";"THS_PER";"OC2";"ED0-2";"TOTAL";"CY";NA
"T";"TOTAL";"THS_PER";"OC2";"ED3_4";"IMG";"CY";NA
"T";"TOTAL";"THS_PER";"OC2";"ED3_4";"TOTAL";"CY";0.9
"T";"TOTAL";"THS_PER";"OC2";"ED5-8";"IMG";"CY";10.5
"T";"TOTAL";"THS_PER";"OC2";"ED5-8";"TOTAL";"CY";55.1
"T";"TOTAL";"THS_PER";"OC2";"TOTAL";"IMG";"CY";10.6
"T";"TOTAL";"THS_PER";"OC2";"TOTAL";"TOTAL";"CY";56
"T";"TOTAL";"THS_PER";"OC3";"ED0-2";"IMG";"CY";NA
"T";"TOTAL";"THS_PER";"OC3";"ED0-2";"TOTAL";"CY";1.3
"T";"TOTAL";"THS_PER";"OC3";"ED3_4";"IMG";"CY";1.4
"T";"TOTAL";"THS_PER";"OC3";"ED3_4";"TOTAL";"CY";13
"T";"TOTAL";"THS_PER";"OC3";"ED5-8";"IMG";"CY";4.6
"T";"TOTAL";"THS_PER";"OC3";"ED5-8";"TOTAL";"CY";25.1
"T";"TOTAL";"THS_PER";"OC3";"TOTAL";"IMG";"CY";6.2
"T";"TOTAL";"THS_PER";"OC3";"TOTAL";"TOTAL";"CY";39.3
"T";"TOTAL";"THS_PER";"OC4";"ED0-2";"IMG";"CY";NA
"T";"TOTAL";"THS_PER";"OC4";"ED0-2";"TOTAL";"CY";0.9
"T";"TOTAL";"THS_PER";"OC4";"ED3_4";"IMG";"CY";2
"T";"TOTAL";"THS_PER";"OC4";"ED3_4";"TOTAL";"CY";19.6
"T";"TOTAL";"THS_PER";"OC4";"ED5-8";"IMG";"CY";3
"T";"TOTAL";"THS_PER";"OC4";"ED5-8";"TOTAL";"CY";17.4
"T";"TOTAL";"THS_PER";"OC4";"TOTAL";"IMG";"CY";5.3
"T";"TOTAL";"THS_PER";"OC4";"TOTAL";"TOTAL";"CY";38
"T";"TOTAL";"THS_PER";"OC5";"ED0-2";"IMG";"CY";1.7
"T";"TOTAL";"THS_PER";"OC5";"ED0-2";"TOTAL";"CY";6.9
"T";"TOTAL";"THS_PER";"OC5";"ED3_4";"IMG";"CY";7.7
"T";"TOTAL";"THS_PER";"OC5";"ED3_4";"TOTAL";"CY";29.9
"T";"TOTAL";"THS_PER";"OC5";"ED5-8";"IMG";"CY";4.5
"T";"TOTAL";"THS_PER";"OC5";"ED5-8";"TOTAL";"CY";17.1
"T";"TOTAL";"THS_PER";"OC5";"TOTAL";"IMG";"CY";13.9
"T";"TOTAL";"THS_PER";"OC5";"TOTAL";"TOTAL";"CY";53.8
"T";"TOTAL";"THS_PER";"OC6";"ED0-2";"IMG";"CY";NA
