"unit";"sex";"age";"geo";"X2015"
"NR";"T";"YGE75";"BE10";79357
"NR";"F";"TOTAL";"BE2";3264030
"NR";"F";"Y0-14";"BE2";510829
"NR";"F";"Y15-24";"BE2";361567
"NR";"F";"Y25-64";"BE2";1698116
"NR";"F";"Y65-74";"BE2";320850
"NR";"F";"YGE75";"BE2";372668
"NR";"M";"TOTAL";"BE2";3188979
"NR";"M";"Y0-14";"BE2";535344
"NR";"M";"Y15-24";"BE2";375881
"NR";"M";"Y25-64";"BE2";1725671
"NR";"M";"Y65-74";"BE2";301156
"NR";"M";"YGE75";"BE2";250927
"NR";"T";"TOTAL";"BE2";6453009
"NR";"T";"Y0-14";"BE2";1046173
"NR";"T";"Y15-24";"BE2";737448
"NR";"T";"Y25-64";"BE2";3423787
"NR";"T";"Y65-74";"BE2";622006
"NR";"T";"YGE75";"BE2";623595
"NR";"F";"TOTAL";"BE21";916658
"NR";"F";"Y0-14";"BE21";149295
"NR";"F";"Y15-24";"BE21";102291
"NR";"F";"Y25-64";"BE21";478592
"NR";"F";"Y65-74";"BE21";86601
"NR";"F";"YGE75";"BE21";99879
"NR";"M";"TOTAL";"BE21";900375
"NR";"M";"Y0-14";"BE21";156479
"NR";"M";"Y15-24";"BE21";105952
"NR";"M";"Y25-64";"BE21";487604
"NR";"M";"Y65-74";"BE21";81802
"NR";"M";"YGE75";"BE21";68538
"NR";"T";"TOTAL";"BE21";1817033
"NR";"T";"Y0-14";"BE21";305774
"NR";"T";"Y15-24";"BE21";208243
"NR";"T";"Y25-64";"BE21";966196
"NR";"T";"Y65-74";"BE21";168403
"NR";"T";"YGE75";"BE21";168417
"NR";"F";"TOTAL";"BE22";432143
"NR";"F";"Y0-14";"BE22";65031
"NR";"F";"Y15-24";"BE22";47542
"NR";"F";"Y25-64";"BE22";233377
"NR";"F";"Y65-74";"BE22";42092
"NR";"F";"YGE75";"BE22";44101
"NR";"M";"TOTAL";"BE22";429237
"NR";"M";"Y0-14";"BE22";68701
"NR";"M";"Y15-24";"BE22";49741
"NR";"M";"Y25-64";"BE22";238319
"NR";"M";"Y65-74";"BE22";40876
"NR";"M";"YGE75";"BE22";31600
"NR";"T";"TOTAL";"BE22";861380
"NR";"T";"Y0-14";"BE22";133732
"NR";"T";"Y15-24";"BE22";97283
"NR";"T";"Y25-64";"BE22";471696
"NR";"T";"Y65-74";"BE22";82968
"NR";"T";"YGE75";"BE22";75701
"NR";"F";"TOTAL";"BE23";749908
"NR";"F";"Y0-14";"BE23";117895
"NR";"F";"Y15-24";"BE23";82362
"NR";"F";"Y25-64";"BE23";391035
"NR";"F";"Y65-74";"BE23";72092
"NR";"F";"YGE75";"BE23";86524
"NR";"M";"TOTAL";"BE23";729141
"NR";"M";"Y0-14";"BE23";122972
"NR";"M";"Y15-24";"BE23";84766
"NR";"M";"Y25-64";"BE23";398838
"NR";"M";"Y65-74";"BE23";66918
"NR";"M";"YGE75";"BE23";55647
"NR";"T";"TOTAL";"BE23";1479049
"NR";"T";"Y0-14";"BE23";240867
"NR";"T";"Y15-24";"BE23";167128
"NR";"T";"Y25-64";"BE23";789873
"NR";"T";"Y65-74";"BE23";139010
"NR";"T";"YGE75";"BE23";142171
"NR";"F";"TOTAL";"BE24";568478
"NR";"F";"Y0-14";"BE24";92580
"NR";"F";"Y15-24";"BE24";63892
"NR";"F";"Y25-64";"BE24";295696
"NR";"F";"Y65-74";"BE24";53496
"NR";"F";"YGE75";"BE24";62814
"NR";"M";"TOTAL";"BE24";546112
"NR";"M";"Y0-14";"BE24";97023
"NR";"M";"Y15-24";"BE24";66339
"NR";"M";"Y25-64";"BE24";291534
"NR";"M";"Y65-74";"BE24";49236
"NR";"M";"YGE75";"BE24";41980
"NR";"T";"TOTAL";"BE24";1114590
"NR";"T";"Y0-14";"BE24";189603
"NR";"T";"Y15-24";"BE24";130231
"NR";"T";"Y25-64";"BE24";587230
"NR";"T";"Y65-74";"BE24";102732
"NR";"T";"YGE75";"BE24";104794
"NR";"F";"TOTAL";"BE25";596843
"NR";"F";"Y0-14";"BE25";86028
"NR";"F";"Y15-24";"BE25";65480
"NR";"F";"Y25-64";"BE25";299416
"NR";"F";"Y65-74";"BE25";66569
"NR";"F";"YGE75";"BE25";79350
"NR";"M";"TOTAL";"BE25";584114
"NR";"M";"Y0-14";"BE25";90169
"NR";"M";"Y15-24";"BE25";69083
"NR";"M";"Y25-64";"BE25";309376
"NR";"M";"Y65-74";"BE25";62324
"NR";"M";"YGE75";"BE25";53162
"NR";"T";"TOTAL";"BE25";1180957
"NR";"T";"Y0-14";"BE25";176197
"NR";"T";"Y15-24";"BE25";134563
"NR";"T";"Y25-64";"BE25";608792
"NR";"T";"Y65-74";"BE25";128893
"NR";"T";"YGE75";"BE25";132512
"NR";"F";"TOTAL";"BE3";1843760
"NR";"F";"Y0-14";"BE3";308446
"NR";"F";"Y15-24";"BE3";218531
"NR";"F";"Y25-64";"BE3";950672
"NR";"F";"Y65-74";"BE3";172845
"NR";"F";"YGE75";"BE3";193266
"NR";"M";"TOTAL";"BE3";1756404
"NR";"M";"Y0-14";"BE3";322506
"NR";"M";"Y15-24";"BE3";226826
"NR";"M";"Y25-64";"BE3";943271
"NR";"M";"Y65-74";"BE3";151404
"NR";"M";"YGE75";"BE3";112397
"NR";"T";"TOTAL";"BE3";3600164
"NR";"T";"Y0-14";"BE3";630952
"NR";"T";"Y15-24";"BE3";445357
"NR";"T";"Y25-64";"BE3";1893943
"NR";"T";"Y65-74";"BE3";324249
"NR";"T";"YGE75";"BE3";305663
"NR";"F";"TOTAL";"BE31";203060
"NR";"F";"Y0-14";"BE31";33742
"NR";"F";"Y15-24";"BE31";25021
"NR";"F";"Y25-64";"BE31";104459
"NR";"F";"Y65-74";"BE31";19772
"NR";"F";"YGE75";"BE31";20066
"NR";"M";"TOTAL";"BE31";191284
"NR";"M";"Y0-14";"BE31";35397
"NR";"M";"Y15-24";"BE31";25964
"NR";"M";"Y25-64";"BE31";99913
"NR";"M";"Y65-74";"BE31";17241
"NR";"M";"YGE75";"BE31";12769
"NR";"T";"TOTAL";"BE31";394344
"NR";"T";"Y0-14";"BE31";69139
"NR";"T";"Y15-24";"BE31";50985
"NR";"T";"Y25-64";"BE31";204372
"NR";"T";"Y65-74";"BE31";37013
"NR";"T";"YGE75";"BE31";32835
"NR";"F";"TOTAL";"BE32";688617
"NR";"F";"Y0-14";"BE32";114929
"NR";"F";"Y15-24";"BE32";79497
"NR";"F";"Y25-64";"BE32";355022
"NR";"F";"Y65-74";"BE32";65473
"NR";"F";"YGE75";"BE32";73696
"NR";"M";"TOTAL";"BE32";649163
"NR";"M";"Y0-14";"BE32";120687
"NR";"M";"Y15-24";"BE32";82629
"NR";"M";"Y25-64";"BE32";349659
"NR";"M";"Y65-74";"BE32";56284
"NR";"M";"YGE75";"BE32";39904
"NR";"T";"TOTAL";"BE32";1337780
"NR";"T";"Y0-14";"BE32";235616
"NR";"T";"Y15-24";"BE32";162126
"NR";"T";"Y25-64";"BE32";704681
"NR";"T";"Y65-74";"BE32";121757
"NR";"T";"YGE75";"BE32";113600
"NR";"F";"TOTAL";"BE33";561531
"NR";"F";"Y0-14";"BE33";92282
"NR";"F";"Y15-24";"BE33";66717
"NR";"F";"Y25-64";"BE33";289894
"NR";"F";"Y65-74";"BE33";52963
"NR";"F";"YGE75";"BE33";59675
"NR";"M";"TOTAL";"BE33";537372
"NR";"M";"Y0-14";"BE33";96105
"NR";"M";"Y15-24";"BE33";68481
"NR";"M";"Y25-64";"BE33";290459
"NR";"M";"Y65-74";"BE33";46372
"NR";"M";"YGE75";"BE33";35955
"NR";"T";"TOTAL";"BE33";1098903
"NR";"T";"Y0-14";"BE33";188387
"NR";"T";"Y15-24";"BE33";135198
"NR";"T";"Y25-64";"BE33";580353
"NR";"T";"Y65-74";"BE33";99335
"NR";"T";"YGE75";"BE33";95630
"NR";"F";"TOTAL";"BE34";140989
"NR";"F";"Y0-14";"BE34";25725
"NR";"F";"Y15-24";"BE34";17381
"NR";"F";"Y25-64";"BE34";72202
"NR";"F";"Y65-74";"BE34";11552
"NR";"F";"YGE75";"BE34";14129
"NR";"M";"TOTAL";"BE34";139272
"NR";"M";"Y0-14";"BE34";26863
"NR";"M";"Y15-24";"BE34";18606
"NR";"M";"Y25-64";"BE34";74315
"NR";"M";"Y65-74";"BE34";10814
"NR";"M";"YGE75";"BE34";8674
"NR";"T";"TOTAL";"BE34";280261
"NR";"T";"Y0-14";"BE34";52588
"NR";"T";"Y15-24";"BE34";35987
"NR";"T";"Y25-64";"BE34";146517
"NR";"T";"Y65-74";"BE34";22366
"NR";"T";"YGE75";"BE34";22803
"NR";"F";"TOTAL";"BE35";249563
"NR";"F";"Y0-14";"BE35";41768
"NR";"F";"Y15-24";"BE35";29915
"NR";"F";"Y25-64";"BE35";129095
"NR";"F";"Y65-74";"BE35";23085
"NR";"F";"YGE75";"BE35";25700
"NR";"M";"TOTAL";"BE35";239313
"NR";"M";"Y0-14";"BE35";43454
"NR";"M";"Y15-24";"BE35";31146
"NR";"M";"Y25-64";"BE35";128925
"NR";"M";"Y65-74";"BE35";20693
"NR";"M";"YGE75";"BE35";15095
"NR";"T";"TOTAL";"BE35";488876
"NR";"T";"Y0-14";"BE35";85222
"NR";"T";"Y15-24";"BE35";61061
"NR";"T";"Y25-64";"BE35";258020
