"unit";"nace_r2";"isco08";"age";"sex";"geo";"X2014"
"INDIC";"B-F";"OC4";"TOTAL";"F";"LV";5.18
"INDIC";"B-F";"OC4";"TOTAL";"F";"MT";8.68
"INDIC";"B-F";"OC4";"TOTAL";"F";"NL";14.48
"INDIC";"B-F";"OC4";"TOTAL";"F";"PL";7.77
"INDIC";"B-F";"OC4";"TOTAL";"F";"PT";6.94
"INDIC";"B-F";"OC4";"TOTAL";"F";"RO";4.44
"INDIC";"B-F";"OC4";"TOTAL";"F";"SE";14.75
"INDIC";"B-F";"OC4";"TOTAL";"F";"SI";10.01
"INDIC";"B-F";"OC4";"TOTAL";"F";"SK";6.81
"INDIC";"B-F";"OC4";"TOTAL";"F";"UK";11.42
"INDIC";"B-F";"OC4";"TOTAL";"M";"AT";16.65
"INDIC";"B-F";"OC4";"TOTAL";"M";"BE";17.22
"INDIC";"B-F";"OC4";"TOTAL";"M";"BG";4.26
"INDIC";"B-F";"OC4";"TOTAL";"M";"CY";10.3
"INDIC";"B-F";"OC4";"TOTAL";"M";"CZ";8.72
"INDIC";"B-F";"OC4";"TOTAL";"M";"DE";18.79
"INDIC";"B-F";"OC4";"TOTAL";"M";"DK";19.24
"INDIC";"B-F";"OC4";"TOTAL";"M";"EE";8.04
"INDIC";"B-F";"OC4";"TOTAL";"M";"EL";NA
"INDIC";"B-F";"OC4";"TOTAL";"M";"ES";13.3
"INDIC";"B-F";"OC4";"TOTAL";"M";"FI";14.91
"INDIC";"B-F";"OC4";"TOTAL";"M";"FR";13.76
"INDIC";"B-F";"OC4";"TOTAL";"M";"HR";NA
"INDIC";"B-F";"OC4";"TOTAL";"M";"HU";7.88
"INDIC";"B-F";"OC4";"TOTAL";"M";"IE";18.99
"INDIC";"B-F";"OC4";"TOTAL";"M";"IT";14.39
"INDIC";"B-F";"OC4";"TOTAL";"M";"LT";6.05
"INDIC";"B-F";"OC4";"TOTAL";"M";"LU";15.09
"INDIC";"B-F";"OC4";"TOTAL";"M";"LV";6.29
"INDIC";"B-F";"OC4";"TOTAL";"M";"MT";8.97
"INDIC";"B-F";"OC4";"TOTAL";"M";"NL";16.76
"INDIC";"B-F";"OC4";"TOTAL";"M";"PL";7.99
"INDIC";"B-F";"OC4";"TOTAL";"M";"PT";7.69
"INDIC";"B-F";"OC4";"TOTAL";"M";"RO";5.07
"INDIC";"B-F";"OC4";"TOTAL";"M";"SE";15.13
"INDIC";"B-F";"OC4";"TOTAL";"M";"SI";9.52
"INDIC";"B-F";"OC4";"TOTAL";"M";"SK";7.69
"INDIC";"B-F";"OC4";"TOTAL";"M";"UK";13.03
"INDIC";"B-F";"OC4";"TOTAL";"T";"AT";15.09
"INDIC";"B-F";"OC4";"TOTAL";"T";"BE";16.88
"INDIC";"B-F";"OC4";"TOTAL";"T";"BG";4.06
"INDIC";"B-F";"OC4";"TOTAL";"T";"CY";8.75
"INDIC";"B-F";"OC4";"TOTAL";"T";"CZ";7.7
"INDIC";"B-F";"OC4";"TOTAL";"T";"DE";17.59
"INDIC";"B-F";"OC4";"TOTAL";"T";"DK";18.6
"INDIC";"B-F";"OC4";"TOTAL";"T";"EE";7.04
"INDIC";"B-F";"OC4";"TOTAL";"T";"EL";NA
"INDIC";"B-F";"OC4";"TOTAL";"T";"ES";11.92
"INDIC";"B-F";"OC4";"TOTAL";"T";"FI";14.06
"INDIC";"B-F";"OC4";"TOTAL";"T";"FR";13.77
"INDIC";"B-F";"OC4";"TOTAL";"T";"HR";NA
"INDIC";"B-F";"OC4";"TOTAL";"T";"HU";7.6
"INDIC";"B-F";"OC4";"TOTAL";"T";"IE";15.1
"INDIC";"B-F";"OC4";"TOTAL";"T";"IT";13.39
"INDIC";"B-F";"OC4";"TOTAL";"T";"LT";5.38
"INDIC";"B-F";"OC4";"TOTAL";"T";"LU";14.84
"INDIC";"B-F";"OC4";"TOTAL";"T";"LV";5.45
"INDIC";"B-F";"OC4";"TOTAL";"T";"MT";8.84
